frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/1/16,4:20 PM,1,34,RWR,4,,RWR,G,,AN/H,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,TP-G,L/AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GG,R,TP-R,L ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,L ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/4/16,3:58 PM,2,30,RWY,13,,RWY,,,L,,,,, -RWY,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,L/H,,,,, -GR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,G,,,,,,, +RWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,,W,,,,, +GR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYG,G,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWB,,,L/W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYW,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/5/16,1:30 PM,3,140,RBW,2,,RBW,G,,W,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,8/2/16,11:50 AM,4,28,RBY,8,,RBY,R,TP,L/W,,,,, -RBR,R,,,R,,,NA,1,,,,* = time after first attack,,,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,,,,,, -RWR,,,,,,,,,,,,** = TP - Tring to pull - towards whichRetreat/ web - web building,,,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,W,,,,, -GR,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,T,,,,, -GYG,R,,,,,,,,,,,***= 0 - No pulling / 1- slightily pulled / 2 - midway toRetreat / 3 -Reach after midway bt notReachRetreat / 4 -ReachRetreat  ,,,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,,AB,,,,, +RWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,AB,,,,, -GBR,R,,,,,,,,,,,every time data in seconds,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,W,,,,, -RWR,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,L,,,,, +RWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GR,,TP,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/9/16,12:55 PM,5,12,GB,4,,GB,G,, L,,,,, -GB ,,WEB,,R,,,NA,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,TP-R,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/10/16,11:18 AM,6,10,GY,7,,GY,G,,H/AN,,,,, -GR,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,TP-R,AB,,,,, +GR,,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED1,R,TP-R,AB,,,,, -UNMARKED2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBW,G,TP-G,H/AN,,,,, +UNMARKED2,,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED2,R,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,TP,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/15/16,10:35 AM,7,30,RR,4,,RR,UP,WEB,H,4,GYG,G,, -RWY,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,TP-R,H/W,,GYW,G,, -RBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,AB,,RYR,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,H,,GWG,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/16/16,10:25 AM,8,37,RBR,7,,RBR,R,,H,1,GYW,R,, -GWY,,WEB,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,L,,,,, -RWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,W,,,,, +RWY,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,TP-UP,L,,,,, +GWY,,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,TP-UP,W,,,,, -RWG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/17/16,2:35 PM,9,20,UNMARKED,3,,UNMARKED,R,TP-R,L/H/W,6,GYB,G,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,TP-G/WEB,L,,GWY,G,, -UNMARKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,L,,GWR,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RR,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GR,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/18/16,10:32 AM,10,30,RWR,9,,RWR,R,,W/AB,4,GYW,R,, -RBG,,WEB,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,L,,RWY,G,, -GR,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,G,,L/H ,,RYR,R,, -RBR,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,TP-G,L,,,,, +RBR,,TP,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,,,, -RBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,H,,,,, +RBR,,TP,T,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBR,G,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/19/16,10:50 AM,11,108,GYG,1,,GYG,R,,L, - ,NO COMERS,,, -GYG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/20/16,5:00 PM,12,20,RWB,5,,RWB,R,,L,2,RBR,G,, -GWBl,,WEB,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,GWBl,,,GWBl,G,,L,,GBl,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RYR,,,RYR,R,,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GBY,,,GBY,G,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GWG,,,GWG,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/22/16,12:04 PM,13,172,UNMARKED1,3,,UNMARKED1,G,,L,6,RWR,G,, -RWBl,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,TP-R,L,,UNMARKED,G,, -UNMARKED,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,WEB,L,,UNMARKED,G,, +RWBl,,WEB,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GBY,G,, -RWBl,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GWBl,R,, -GBR,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RWR,G,, +UNMARKED,,WEB,H,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/23/16,4:54 PM,14,140,GBl,2,,GBl,R,TP-R,W,0,,,, -GBR,,WEB,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,2/25/16,11:20 AM,15,118,GBY,7,,GBY,G,,H,2,RWBl,R,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,,TP-DOWN,L,,GYR,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,TP-G,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,3/8/16,4:00 PM,16,11,R_,8,,R_,G,,L/AB,3,UNMARKED,R,, -R?,,WEB,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,AB,,GWY,R,, +R?,,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,L,,RBY,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWB,G,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,3/9/16,11:00 AM,17,21,RWBl,4,0,RWBl,G,,W,1,R_,G,, -GG,,WEB,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,GYG,G,WEB,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,17,GBR,G,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
