frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreatof comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
12,SCDR,2/4/16,6:20 PM,1,75,GG,3,0,GG,R,TP-R/G,L,NA,,,, -RYR,,WEB,,G,,,NA,1,,
,,,,,,,,,GBG,R,TP-R,AN,,,,, -GBG,,WEB,,,,,,,,
,,,,,,,,,RYR,R,,AB,,,,,,,,,,,,,,,
12,SCDR,2/5/16,2:45 PM,2,21,GR,6,0,GR,R,,W,NA,,,, -GR,,,,R,69,,NA,1,,
,,,,,,,,,GY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBG,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,TP-R,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,AN ,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,L,,,,,,,,,,,,,,,
12,SCDR,2/8/16,3:00 PM,3,232,RWY,3,0,RWY,R,,L,NA,,,,,,,,,,,,0,,
,,,,,,,,,RWBl,R,,AN,,,,,,,,,,,,,,,
,,,,,,,,,RY ,R,,,,,,,,,,,,,,,,,
12,SCDR,2/9/16,3:18 PM,4,38,RWR,1,0,RWR,R,TP-R,L/W/T,NA,,,, -RWR,,WEB,,R,,,NA,1,,
,,,,,,,,,,,,,,,,, +RWR,,,,,,,,,,
12,SCDR,2/10/16,2:06 PM,5,7,GBY,4,0,GBY,R,TP-DOWN,W,NA,,,, -GY,,,,R,,,NA,1,,
,,,,,,,,,GY,R,,L,,,,, -RG,R,,,,,,,,,
,,,,,,,,,RBY,R,TP-R,T,,,,, +RG ,,,AB,,,,,,,
,,,,,,,,,RG,R,,AB,,,,, +GY,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, -RG,R,,,,,,,,,
,,,,,,,,,,,,,,,,, -GY,UP,,,,,,,,,
12,SCDR,2/11/16,11:25 AM,6,50,RYR,2,0,RYR,R,TP-R,W/H,NA,,,, -RYB,R,,,G,,240,NA,4,,
,,,,,,,,,RBY,G,TP-G,L,,,,,,,,,,,,,,,
12,SCDR,2/13/16,4:54 PM,7,19,RYR,5,0,RYR,R,TP-DOWN,AB,4,RR,R,, -RWR,G,,,R,,,NA,3,,
,,,,,,,,,GY,R,TP-R,L,,RWY,R,, - UNMARKED,,,,,,,,,,
,,,,,,,,,RWR,R,,L,,RG,G,, -RBR ,R,WEB,,,,,,,,
,,,,,,,,,UNMARKED,R,,,,GBY,G,,,,,,,,,,,,
,,,,,,,,,RBR,R,,W,,,,,,,,,,,,,,,
12,SCDR,2/15/16,12:30 PM,8,29,UNMARKED,5,0,UNMARKED,R,,L,3,RG,R,, -RWY,,WEB,,R,91,243,152,4,,
,,,,,,,,,RWR,R,TP-R,H,,RYR,R,, -GG,R,,,,,,,,,
,,,,,,,,,GBG,R,,L/T,,RBY,G,,,,,,,,,,,,
,,,,,,,,,RWY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,L,,,,,,,,,,,,,,,
12,SCDR,2/16/16,12:50 PM,9,162,GWR,2,0,GWR,R,TP-G,AN,3,RWBl,G,,,,,,R,,420,NA,4,,
,,,,,,,,,RWY,G,,L,,GBW,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RYG,G,,,,,,,,,,,,
12,SCDR,2/17/16,3:45 PM,10,62,RG,3,0,RG,R,TP-R,W,6,RWY,R,,,,,,R,,,NA,4,,
,,,,,,,,,RYR,R,TP-R,H,,GBG,R,,,,,,,,,,,,
,,,,,,,,,RBY,G,,L,,GBY,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GY,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RYG,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RWR,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SCDR,2/18/16,11:40 AM,11,50,RWY,3,0,RWY,R,TP-R,L,,,,,,,,,R,,,NA,1,,
,,,,,,,,,GY,R,,L ,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,,H,,,,,,,,,,,,,,,
12,SCDR,2/19/16,2:00 PM,12,24,GBY,4,0,GBY,R,TP-R,L,3,GBG,R,, -RG,,WEB,,UP,,481,NA,4,,
,,,,,,,,,GY,R,TP-R,T,,RWY,G,,,,,,,,,,,,
,,,,,,,,,RWBl,R,TP-R,W,,RR,R,,,,,,,,,,,,
,,,,,,,,,RG,G,,L,,,,,,,,,,,,,,,
12,SCDR,2/20/16,3:45 PM,13,5,RWR,4,,RWR,R,TP-R,H,2,GG,G,, -RWR,,,,R,,169,NA,4,,
,,,,,,,,,RG,R,TP-R,H,,GBG,G,, -RYR,R,,,,,,,,,
,,,,,,,,,RYR,R,,L,,,,, -GY,,,,,,,,,,
,,,,,,,,,GY,R,,W,,,,,,,,,,,,,,,
12,SCDR,2/22/16,12:51 PM,14,54,RYR,3,0,RYR,R,,L,1,RWG,R,,,,,,R,,,NA,1,,
,,,,,,,,147,RWG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,336,GY,R,,W,,,,,,,,,,,,,,,
