frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreatof comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
14,SCDR,2/8/16,4:02 PM,1,38,RBY,3,0,RBY,G,TP-G,W,,,,, -GW,G,,,,,,,0,,
,,,,,,,,,GW,G,,,,,,,,,,,,,,,,,
,,,,,,,,,RW,R,TP-R,,,,,,,,,,,,,,,,
14,SCDR,2/9/16,4:22 PM,2,24,GBW,3,0,GBW,G,TP-G,L,,,,, -RWB,,,,R,,,NA,1,,
,,,,,,,,,GYW,R,TP-R,H,,,,,,,,,,,,,,,
,,,,,,,,,RWB,R,,L,,,,,,,,,,,,,,,
14,SCDR,2/10/16,2:50 PM,3,4,GB,8,0,GB,G,TP-UP,L,,,,, -RWB,,,,,,,,0,,
,,,,,,,,,RBW,G,TP-G,H,,,,, +RWB,,,,,,,,,,
,,,,,,,,,RBG,G,,L,,,,, -RWR,G,,,,,,,,,
,,,,,,,,,RWB,R,TP-R,T/W,,,,, +RWR,,,,,,,,,,
,,,,,,,,,RW,R,,W,,,,, -RBW,,,,,,,,,,
,,,,,,,,,RWR,G,,AB,,,,, +RBW,,,,,,,,,,
,,,,,,,,,RYBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,L,,,,,,,,,,,,,,,
14,SCDR,2/11/16,12:05 PM,4,15,RYG,6,0,RYG,R,TP-R,W,,,,, -GWY,G,,,,,,,0,,
,,,,,,,,,GWY,G,TP-G,L,,,,, -GW,,,,,,,,,,
,,,,,,,,,RWB,R,TP-R,AN,,,,, +GW,,,L,,,,,,,
,,,,,,,,,GBG,R,,AN/H,,,,, +GWY,,,H,,,,,,,
,,,,,,,,,RYBl,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,AN,,,,,,,,,,,,,,,
14,SCDR,2/13/16,2:48 PM,5,24,RWY,7,0,RWY,G,,L,4,RYG,G,,,,,,,,,,0,,
,,,,,,,,,GYR,G,,L,,RBR,G,,,,,,,,,,,,
,,,,,,,,,GB,G,,L,,RYW,R,,,,,,,,,,,,
,,,,,,,,,RYB ,G,,W/AB,,GBl,G,,,,,,,,,,,,
,,,,,,,,,RWB,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RR ,,,T ,,,,,,,,,,,,,,,
14,SCDR,2/15/16,2:00 PM,6,18,GYBl,7,0,GYBl,G,TP-UP,L/H,5,GBG,G,,,,,,,,,,0,,
,,,,,,,,,GYR,R,TP-R,H/T,,GW,G,,,,,,,,,,,,
,,,,,,,,,RB,G,,L/AB,,RW,R,,,,,,,,,,,,
,,,,,,,,,RBl,G,,W,,GBW,G,,,,,,,,,,,,
,,,,,,,,,GBG,G,,,,GYG,G,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,H/T,,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,H ,,,,,,,,,,,,,,,
14,SCDR,2/16/16,2:30 PM,7,10,GYR,4,0,GYR,G,TP-R,W,5,GWY,G,, -GB,,,,,,,,0,,
,,,,,,,,,RYG,G,,W,,RBl,G,, -RYG,,WEB,,,,,,,,
,,,,,,,,,GB,R,,AN,,GBG,G,, +RYG,,,L/AB,,,,,,,
,,,,,,,,,RWY,G,,W,,RWG,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RYR,R,,,,,,,,,,,,
14,SCDR,2/17/16,5:32 PM,8,25,GYB,2,0,GYB ,G,TP-G,H,6,RWG,R,,,,,,G,,,NA,2,,
,,,,,,,,,RG,R,TP-DOWN,L/AB,,GWY,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RYR,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RBY,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GYW,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GBl,G,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SCDR,2/19/16,2:55 PM,9,15,GYW,1,0,GYW,G,TP-G/WEB,L,7,RBW,G,,,,,,,,,,0,,
,,,,,,,,,,,,,,RG,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RYBl,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RYB,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RYR,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GYBl,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SCDR,2/20/16,2:03 PM,10,9,GWBl,5,0,GWBl,G,TP-UP,T,7,GYB,R,, -GBG,,WEB,,,,,,0,,
,,,,,,,,,GYBl,R,,L,,RBR,G,, -GYBl,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,AB,,GWY,R,, -RB,,,,,,,,,,
,,,,,,,,,GBG,,,L,,RR,R,, -UNMARKED,,,,,,,,,,
,,,,,,,,,RB,G,,H,,GBl,R,, +RB,,,,,,,,,,
,,,,,,,,,,,,,,UNMARKED,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GYR,G,,,,,,,,,,,,
14,SCDR,2/22/16,2:23 PM,11,17,GYB,7,0,GYB,G,,,6,GYR,G,,,,,,,,,,0,,
,,,,,,,,6,RBW,G,,,,GYBl,,,,,,,,,,,,,
,,,,,,,,12,GYW,G,,,,GBG,,,,,,,,,,,,,
,,,,,,,,13,GG,G,,,,GBY,G,,,,,,,,,,,,
,,,,,,,,24,RG,G,,,,GYG,G,,,,,,,,,,,,
,,,,,,,,27,RWR,R,,,,RYG,R,,,,,,,,,,,,
,,,,,,,,32,RYBl,R,,,,,,,,,,,,,,,,,
14,SCDR,2/23/16,3:36 PM,12,6,RBG,10,0,RBG,G,,L,2,GBG,G,,,,,,,,,,0,,
,,,,,,,,,GWBl,G,,W,,GYB,G,WEB,,,,,,,,,,,
,,,,,,,,,RWB,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RYW,,,T,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SCDR,2/25/16,3:06 PM,13,22,GBG,7,0,GBG,G,,AB,5,RYBl,R,,,,,,,,,,0,,
,,,,,,,,,RBW,G,,H,,GBl,R,,,,,,,,,,,,
,,,,,,,,,RBl,R,,AB,,GWBl,G,,,,,,,,,,,,
,,,,,,,,,RYR,R,,H,,RB,R,,,,,,,,,,,,
,,,,,,,,,G_,R,,L,,RWB,R,,,,,,,,,,,,
,,,,,,,,,GYG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,AB,,,,,,,,,,,,,,,
14,SCDR,2/26/16,4:40 PM,14,80,UNMARKED,8,0,UNMARKED,R,,L,4,RWBl,G,, -GBG,,,,,,,,0,,
,,,,,,,,,RBG,R,,L,,GY,G,, -GWBl,,,,,,,,,,
,,,,,,,,,RY,G,,W,,RYB,R,, -RG,,,,,,,,,,
,,,,,,,,,RYG,R,,H,,GWY,R,, +GBG,,,AB,,,,,,,
,,,,,,,,,GBG,G,WEB,L,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,WEB,L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,TP-R,L,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,L,,,,,,,,,,,,,,,
14,SCDR,2/27/16,11:35 AM,15,32,GWBl,6,0,GWBl,G,,L,2,GYB,G,,,,,,,,,,0,,
,,,,,,,,,RYW,R,,L,,GBG,R,,,,,,,,,,,,
,,,,,,,,,GG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,,L/H,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,L,,,,,,,,,,,,,,,
14,SCDR,3/3/16,2:45 PM,16,2,RBY,9,0,RBY,R,,T,4,RBG,R,,,,,,,,,,0,,
,,,,,,,,5,RYW,G,,H,,RYG,R,,,,,,,,,,,,
,,,,,,,,8,GYW,G,,H,,RYR,R,,,,,,,,,,,,
,,,,,,,,37,GYR,G,,H,,GYB,G,,,,,,,,,,,,
,,,,,,,,57,GWY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,62,RBW,G,,T,,,,,,,,,,,,,,,
,,,,,,,,98,GG,R,,W,,,,,,,,,,,,,,,
,,,,,,,,108,GBl,R,,H,,,,,,,,,,,,,,,
,,,,,,,,120,GWR,R,,T,,,,,,,,,,,,,,,
14,SCDR,3/8/16,2:00 PM,17,14,UNMARKED,8,0,UNMARKED,G,,W,4,RWR,R,WEB, -UNMARKED,,,,,,,,0,,
,,,,,,,,,GYW,R,,L,,RBW,G,, -RBl,,,,,,,,,,
,,,,,,,,,RYB,R,,W,,RWB,R,WEB, -RBG,,,,,,,,,,
,,,,,,,,,RBG,R,,L,,GYB,G,WEB,,,,,,,,,,,
,,,,,,,,,RWBl,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,,,,,,,,,,,,,,
14,SCDR,3/9/16,2:30 PM,18,8,RWG,12,0,RWG,G,,W,3,RBY,R,, -RWY,,,,,,,,0,,
,,,,,,,,,RBY,R,,W,,RYG,R,, +RWY ,,,,,,,,,,
,,,,,,,,,GWBl,G,,W,,GBG,R,, -GBl,,,,,,,,,,
,,,,,,,,,RB,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWB,,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,AB,,,,,,,,,,,,,,,
14,SCDR,3/10/16,NA,19,30,UNMARKED,9,0,UNMARKED,UP,,AB,,,,,,,,,,,,,0,,
,,,,,,,,,GWR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB/H,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYB,UP,,T,,,,,,,,,,,,,,,
14,SCDR,3/12/16,2:25 PM,20,58,RWY,7,0,RWY,G,,,3,RYB,G,, -RWR,,,,,,,,0,,
,,,,,,,,,G_,R,,,,GBG,G,,,,,,,,,,,,
,,,,,,,,,RWR,R,,,,RBW,G,,,,,,,,,,,,
,,,,,,,,,RB,R,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,TP-R,,,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,,,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,TP-G,,,,,,,,,,,,,,,,
14,SCDR,3/13/16,1:45 PM,21,9,RBl,11,0,RBl,R,,AB,3,GBl,R,, -RB,,WEB,,,,,,0,,
,,,,,,,,,UNMARKED,R,TP-R,AB,,RBG,UP,, -RWBl,,,,,,,,,,
,,,,,,,,,GWBl,R,,H,,RG,R,, +RWBl,,,T,,,,,,,
