frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
23,SCSR,3/4/16,11:25 AM,1,8,GBY,7,0,GBY,G,,W,5,GR,R,,,,,, - ,,,,0,,
,,,,,,,,,GW,G,,L,,RBl,R,,,,,,,,,,,,
,,,,,,,,,GBl,G,,L,,GWG,R,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,W,,GYG,R,,,,,,,,,,,,
,,,,,,,,,RG,R,,H,,GG,R,,,,,,,,,,,,
,,,,,,,,,GBW,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,AB,,,,,,,,,,,,,,,
23,SCSR,3/8/16,4:15 PM,2,23,GBG,4,0,GBG,R,,H,2,GWBl,G,,,,,, - ,,,,0,,
,,,,,,,,,GYG,R,,H,,GWG,R,,,,,,,,,,,,
,,,,,,,,,GBY,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,AB,,,,,,,,,,,,,,,
23,SCSR,3/9/16,12:15 PM,3,18,RYR,10,0,RYR,R,,L,7,RWG,R,,,,,, -,,,,0,,
,,,,,,,,,RYB,G,,,,GWBl,R,,,,,,,,,,,,
,,,,,,,,,GB,DOWN,,L,,GBW,R,,,,,,,,,,,,
,,,,,,,,,RYG,G,,W/H,,RBR,R,,,,,,,,,,,,
,,,,,,,,,GYB ,G,,,,RBY,R,,,,,,,,,,,,
,,,,,,,,,GR,G,,W,,RY,R,,,,,,,,,,,,
,,,,,,,,,RWR,R,WEB,L,,RW,R,,,,,,,,,,,,
,,,,,,,,,GYG,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,,,H,,,,,,,,,,,,,,,
23,SCSR,3/10/16,2:50 PM,4,17,GBY,9,0,GBY,R,,L,10,GWG,G,, - RYBl,,WEB,, - ,,,,0,,
,,,,,,,,,RY,G,,L/H,,RBR,G,, - GYG,,WEB,,,,,,,,
,,,,,,,,,RBY,R,,T,,RWY,R,, - GBY,,WEB,,,,,,,,
,,,,,,,,,RYBl,G,,W,,RYR,R,, + GYG,,,AB,,,,,,,
,,,,,,,,,GYG,R,,H,,RBW,R,, + RYBl,,,AB,,,,,,,
,,,,,,,,,RWBl,,,T,,GR,R,, + GBY,,,AB,,,,,,,
,,,,,,,,,RBl,R,,AB,,GG,R,,,,,,,,,,,,
,,,,,,,,,RW,,,AB,,GWB,R,,,,,,,,,,,,
,,,,,,,,,RWG,R,,AB,,GWY,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GW,R,,,,,,,,,,,,
23,SCSR,3/12/16,11:15 AM,5,3,RG,8,0,RG,R,,L,0,,,, - RG,,,, - ,,,,0,,
,,,,,,,,,GBY,R,,L,,,,, - RYR,R,,,,,,,,,
