FRAME ID,PLACE,COMBINATION,,,,,,FRAME ID,trials,VIDEOS,,,,,,,,,,,,,,,,,,,,FRAME ID,intial spider no.*
1,Gudvinka 2 connection 1 + connection 2,SCDR,,,SCSR,Same colony same retreat,,1,22,13,SCDR,,,,,,,,,,,,,,,,,,,1,18/18
2,Ravalamma koil conncetion 1 + connction 2,SCDR,,,SCDR,same colony different retreat,,2,24,12,SCDR,,,SCDR,1,2,3,4,12,14,17,18,22,,,,,,,2,13/13
3,Bypass 5 side conncetion 1 + connction 2,SCDR,,,DC,different colony,,3,24,,SCDR,,,DC,5,7,6,13,16,19,21,24,,,,,,,,3,20/20
4,Bypass 1 connection 1 + connection 2,SCDR,,,,,,4,24,,SCDR,,,SCSR,8,9,10,11,15,20,23,,,,,,,,,4,20/20
5,Dravidian uni-1 + Ravalamma koil 1,DC,,,,,,5,25,13,DC,,,,,,,,,,,,,,,,,,,5,18/17
6,Bypass 6 + Marwada 7,DC,,,combination,no.of setups,,6,25,,DC,,,,,,,,,,,,,,,,,,,6,
7,Marwada 6 + Bypass 4,DC,,,SCSR,8,,7,25,,DC,,,,,,,,,,,,,,,,,,,7,
8,Gudupalli Ravalamma koil 1,SCSR,,,SCDR,10,,8,25,12,SCSR,,,,,,,,,,,,,,,,,,,8,20/20
9,Dravidian uni-2,SCSR,,,DC,9,,9,25,14,SCSR,,,,,,,,,,,,,,,,,,,9,13/13
10,kamathanur cross,SCSR,,,,,,10,15,,SCSR,,,,,,,,,,,,,,,,,,,10,
11,Daseganaru 2,SCSR,,,,,,11,22,8,SCSR,,,,,,,,,,,,,,,,,,,11,20/20
12,Daseganaru connction 1 + connction 2,SCDR,,,,,,12,25,12,SCDR,,,,,,,,,,,,,,,,,,,12,20/20
13,kamathanur cross 2 + Dasaganaru 5,DC,,,,,,13,20,14,DC,,,,,,,,,,,,,,,,,,,13,20/20
14,Gundalapalli connction 2 + connection 1,SCDR,,,,,,14,25,13,SCDR,,,,,,,,,,,,,,,,,,,14,20/20
15,poyanoor 1,SCSR,,,,,,15,24,15,SCSR,,,,,,,,,,,,,,,,,,,15,20/20
16,kamathanoor cross 1 + daseganaru 1,DC,,,,,,16,25,14,DC,,,,,,,,,,,,,,,,,,,16,20/20
17,kamathamur cross connection 1 + connection 2,SCDR,,,,,,17,25,12,SCDR,,,,,,,,,,,,,,,,,,,17,20/20
18,kamathanoor cross 1 connection 1 + connection 2,SCDR,,,Column1,Column2,,18,25,12,SCDR,,,,,,,,,,,,,,,,,,,18,20/20
19,Gundalapalli c2 + Daseganaru 3,DC,,,ATTACKING PARTS,,,19,25,9,DC,,,,,,,,,,,,,,,,,,,19,20/20
20,Daseganru 4,SCSR,,,W,WING,,20,23,9,SCSR,,,,,,,,,,,,,,,,,,,20,20/20
21,Marwada 5 + Bypass 7,DC,,,T,THORAX,,21,25,,DC,,,,,,,,,,,,,,,,,,,21,
22,Bypass connection 1 + c2,SCDR,,,AB,ABDOMEN,,22,25,,SCDR,,,,,,,,,,,,,,,,,,,22,
23,Kathamanapalli 3,SCSR,,,AN,ANTENNA,,23,25,,SCSR,,,,,,,,,,,,,,,,,,,23,
24,Ravalamma koil 6 + Guttapalli,DC,,,L,LEG,,24,25,,DC,,,,,,,,,,,,,,,,,,,24,
25,Marwada + Bypass 3,DC,,,H,HEAD,,25,25,,DC,,,,,,,,,,,,,,,,,,,25,
26,Kathamanapalli 1,SCSR,,,,,,26,25,,SCSR,,,,,,,,,,,,,,,,,,,26,
27,Marwada 3,SCSR,,,,,,27,25,,SCSR,,,,,,,,,,,,,,,,,,,27,
28,kotapalli,SCSR,,,,,,28,25,,SCSR,,,,,,,,,,,,,,,,,,,28,
29,Ravilamma koil 4 c1 + c2,SCDR,,,,,,29,27,,SCDR,,,,,,,,,,,,,,,,,,,29,
30,ravilamma koil 1 + Gudupalli 2,DC,,,,,,30,27,,DC,,,,,,,,,,,,,,,,,,,30,
