frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
10,SCSR,3/22/16,2:25 pm,1,65,RBl,1,,RBl,R,,W,5,RYBl,R,, -RBl,,,,R,,,,1,,
,,,,,,,,,,,,,,RG,G,, +RBl,,,L,,,,,,,
,,,,,,,,,,,,,,GWY,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RBG,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GYBl,G,,,,,,,,,,,,
,,3/23/16,11:12 am,2,6,RWBl,3,,RWBl,R,,L/AB,3,RWB,G,,,,,,,,,,0,,
,,,,,,,,,RW,G,,AN/H,,GBY,G,,,,,,,,,,,,
,,,,,,,,,GWY,G,,AB,,GBG,G,,,,,,,,,,,,
,,3/24/16,11:48 am,3,3,RWBl,3,,RWBl,G,TP-G,L/H,5,GYR,R,, -RG,,,,,,,,0,,
,,,,,,,,,RYBl,G,,L/AB,,GW,G,,,,,,,,,,,,
,,,,,,,,,RG,R,,W/AB,,GBG,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RBG,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GWY,G,,,,,,,,,,,,
,,3/25/16,2:00 pm,4,25,GWY,5,,GWY,R,,W,3,GW,R,, ,,,,,,,,0,,
,,,,,,,,,GWBl,R,,L,,GWR,G,,,,,,,,,,,,
,,,,,,,,,RBR,G,,AB,,GY,G,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,H,,,,,,,,,,,,,,,
,,3/26/16,11:00 am,5,35,GW,5,,GW,R,,L,4,RB,G,,,,,,,,,,0,,
,,,,,,,,,RBl,G,,AN,,GG,R,,,,,,,,,,,,
,,,,,,,,,GBY,G,,L,,RWR,G,,,,,,,,,,,,
,,,,,,,,,GYB,G,,H,,RBG,R,,,,,,,,,,,,
,,,,,,,,,GB,G,,L,,,,,,,,,,,,,,,
,,3/28/16,11:20 am,6,5,RWB,7,,RWB,G,,L,5,GBW,G,, -RBl,R,,,,,,,0,,
,,,,,,,,,RBl,UP,,L,,GYG,R,, -RWB,R,,,,,,,,,
,,,,,,,,,GG,R,,L/AB,,RWG,R,,,,,,,,,,,,
,,,,,,,,,GBG,R,,T,,GWBl,G,,,,,,,,,,,,
,,,,,,,,,RG,R,,AB,,GB,R,,,,,,,,,,,,
,,,,,,,,,RBR,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,,L/H,,,,,,,,,,,,,,,
,,3/31/16,4:30 pm,7,189,RG,2,0,RG,R,WEB,L/AB,3,RYR,G,, -RG,,WEB,,,,,,0,,
,,,,,,,,346,RBR,R,,L/T,,RG,R,, +RG,,,T,,,,,,,
,,,,,,,,,,,,,,GYBl,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/16,11:00 am,8,10,GWBl,5,0,GWBl,R,WEB,W/H,2,RBR,G,,,,,,,,,,0,,
,,,,,,,,2,GYR,R,,AB,,RYR,G,,,,,,,,,,,,
,,,,,,,,10,GYBl,G,,W,,,,,,,,,,,,,,,
,,,,,,,,148,RW,R,,T,,,,,,,,,,,,,,,
,,,,,,,,230,GBR,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/1/16,3:10 pm,9,10,GWBl,5,0,GWBl,R,WEB,L,0,,,,,,,,,,,,0,,
,,,,,,,,4,RBR,G,,W,,,,,,,,,,,,,,,
,,,,,,,,75,RBW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,90,GYBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,115,GBR,G,,L,,,,,,,,,,,,,,,
,,4/4/16,11:56 am,10,5,RBW,3,0,RBW,R,TP-R,W/AB,3,RBR,G,,,,,,,,,,0,,
,,,,,,,,,GYR,R,,W,,RWB,R,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,H,,GWR,R,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/5/16,3:56 pm,11,8,GWBl,3,0,GWBl,G,,L,2,RBR,R,,,,,,,,,,0,,
,,,,,,,,12,GYBl,R,,L,,RBW,R,,,,,,,,,,,,
,,,,,,,,21,GWR,R,,W,,,,,,,,,,,,,,,
,,4/7/16,12:12 pm,12,10,RBW,4,0,RBW,G,TP-G,W/T,1,RG,R,, -GYR,,,,,,,,0,,
,,,,,,,,18,GYR,DOWN,,L,,,,, +GYR,,,L,,,,,,,
,,,,,,,,20,RW,R,TP-R,L/AB,,,,, -GYR,,,,,,,,,,
,,,,,,,,26,GWBl,G,,L/T,,,,,,,,,,,,,,,
,,4/13/16,,13,74,RBW,2,0,RBW,R,TP-R/WEB,L/W,,,,,,,,,R,,,,3,,
,,,,,,,,60,GWBl,R,TP-R,L,,,,,,,,,,,,,,,
,,4/14/16,2:20 pm,14,16,RW,2,0,RW,R,,W,0,,,, -RW,,,,,,,,0,,
,,,,,,,,8,RG,R,WEB,L,,,,, -RG,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, +RG,,,L/AB,,,,,,,
,,,,,,,,,,,,,,,,, +RW,,,W,,,,,,,
,,4/16/16,12:12 pm,15,5,RG,1,0,RG,R,WEB,L,2,RBW,R,,,,,,,,,,0,,
,,,,,,,,,,,,,,RW,R,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
