frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
25,DC,4/14/16,3:00 pm,1,5,GBR,6,,GBR,R,TP-R,H,4,RWG,R,, -GBR,,,,R,,282,,4,
,,,,,,,,,RB,R,,T,,RWB,G,, -RYG,,,,,,,,,
,,,,,,,,,RYG,G,,L,,GBl,G,, -RG,,,,,,,,,
,,,,,,,,,RYB,G,,L/T,,RWG,R,, -RYG,,,,,,,,,
,,,,,,,,,RWR,R,,AB,,,,,  -RYB,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,, -RWB,,,,,,,,,
,,,,,,,,,,,,,,,,, -RWY,,,,,,,,,
,,4/15/16,11:50 am,2,6,RWR,3,0,RWR,R,TP-R,T/AB,3,RB,R,, -RR,,,,R,,,,1,
,,,,,,,,,RR,R,,L,,GWY,R,, +RR,,,T,,,,,,
,,,,,,,,,RYG,G,TP-G,L/H,,RWG,G,,,,,,,,,,,
,,4/18/16,4:03 pm,3,6,RG,6,0,RG,TOP,,L,4,GB,R,WEB,,,,,,,,,0,
,,,,,,,,,RWG,G,,H,,RBW,R,,,,,,,,,,,
,,,,,,,,,RW,G,,T,,RBl,G,,,,,,,,,,,
,,,,,,,,,RBW,R,TP-R,T,,RYG,G,,,,,,,,,,,
,,,,,,,,,RR,R,,T,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,TP-G,H,,,,,,,,,,,,,,
,,4/19/16,2:10 pm,4,6,GBR,3,0,GBR,TOP,,L/AB,3,RB,G,, -RWBl,,,,R,,,,2,
,,,,,,,,,RWBl,TOP,,H,,RR,G,, +RWBl,,,T,,,,,,
,,,,,,,,,RYG,R,TP-R,L/T,,RYG,R,, -GBR,,WEB,,,,,,,
,,4/21/16,12:17 pm,5,2,R,7,0,R_,TOP,,,0,,,, -RWR,,,,,,,,0,
,,,,,,,,,RWR,R,,,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,T,,,,,,,,,,,,,,
,,,,,,,,,RWBl,,TP-R,AB,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,AN,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,TP-R,W,,,,,,,,,,,,,,
,,,,,,,,,GR,G,TP-G,T,,,,,,,,,,,,,,
,,4/21/16,2:16 pm,6,41,RYB,6,0,RYB,TOP,,W,2,GWG,G,, -RWY,,,,,,,,0,
,,,,,,,,,RWBl,G,,T,,GYG,G,, -RWBl,,,WEB,,,,,,
,,,,,,,,,GBR,G,,H,,,,, -GWY,R,,,,,,,,
,,,,,,,,,RR,G,,H/AN,,,,, -RR,G,,,,,,,,
,,,,,,,,,RWY,G,,,,,,, -RWY,,,,,,,,,
,,,,,,,,,GWY,R,,L,,,,, +RWY,,,AB,,,,,,
,,,,,,,,,,,,,,,,, +RR,,,H,,,,,,
,,21/4/2016,3:23 pm,7,5,R,6,0,R_,R,WEB,W/L/AB,5,GWY,R,WEB, -RWBl,,WEB,,,,,,0,
,,,,,,,,,RWBl,G,,W,,GY,R,, -GBR,,,,,,,,,
,,,,,,,,,RWR,G,,W/L,,GYBl,R,, +GBR,,,T,,,,,,
,,,,,,,,,GBR,G,,W/T,,RR,G,, -RWR,,WEB,,,,,,,
,,,,,,,,,RYB,R,TP-R,AB/W/T,,GBW,G,, -R,,WEB,,,,,,,
,,,,,,,,,RG,G,,W/T,,,,, -GBR,,,,,,,,,
,,,,,,,,,,,,,,,,, +GBR,,TP-G,AB,,,,,,
,,,,,,,,,,,,,,,,, +RWR,,,L,,,,,,
,,4/22/16,1:57 pm,8,9,RWY,7,0,RWY,R,,AB,3,GYR,R,, -GWY,,,,,,,,0,
,,,,,,,,,RYB,G,,T,,RBW,G,, +GWY,,,H,,,,,,
,,,,,,,,,GYG,G,TP-G,AB,,RR,G,,,,,,,,,,,
,,,,,,,,,RW,R,,T,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,H,,,,,,,,,,,,,,
,,4/22/16,3:00 pm,9,46,GW,9,0,GW,R,TP-R,W,1,RW,G,, -GWR,,,,R,,,,3,
,,,,,,,,,GYG,R,,T/AB,,,,, -R,,,,,,,,,
,,,,,,,,,GWR,R,,AB,,,,, -RWY,,,,,,,,,
,,,,,,,,,RG,R,,AB,,,,, +GWY,,,H,,,,,,
,,,,,,,,,GWY,G,TP-G,AN,,,,, -GYG,,,,,,,,,
,,,,,,,,,RWR,R,,T/L,,,,, -GW,,,,,,,,,
,,,,,,,,,GBR,R,TP-R,L/AB,,,,, +GW,,,H,,,,,,
,,,,,,,,,R_,G,,H,,,,, +GYG,,,,,,,,,
,,,,,,,,,GR,R,,T,,,,, -GBR,,,,,,,,,
,,4/22/16,3:55 pm,10,14,GW,8,,GW,R,TP-R,L,4,GWY,R,, -RWR,,,,,,,,0,
,,,,,,,,,RWR,G,,H,,GR,R,, -GW,R,,,,,,,,
,,,,,,,,,RWY,G,TP-G,H,,RYG,G,,,,,,,,,,,
,,,,,,,,,R_,G,,LE,,RBY,R,,,,,,,,,,,
,,,,,,,,,RBY,R,TP-R/WEB,AN,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GBW,R,TP-R,W/AN,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,L/T,,,,,,,,,,,,,,
,,4/23/16,11:57 am,11,8,RWR,6,,RWR,R,,T,5,RBY,R,, -RWBl,,,,R,180,,,2,
,,,,,,,,,RWG,R,TP-R,AB,,GYR,R,, -GY,,,,,,,,,
,,,,,,,,,GYG,G,,AN,,GW,G,, +GY,,,T,,,,,,
,,,,,,,,,RWBl,R,,,,GWG,R,WEB,,,,,,,,,,
,,,,,,,,,RBW,R,,H/AN,,GYR,R,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB,,,,,,,,,,,,,,
,,4/23/16,1:43 pm,12,7,RWBl,4,,RWBl,R,TP-R,AB/L/H,5,RYG,G,, -GBR,,,,R,180,,,1,
,,,,,,,,,RBY,G,TP-G,AB/H,,RYB,G,,,,,,,,,,,
,,,,,,,,,RW,G,,AB,,RWR,G,,,,,,,,,,,
,,,,,,,,,GBR,R,,W,,GWR,R,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,R,,,,,,,,,,,
,,4/23/16,2:20 pm,13,14,GYG,9,,GYG,R,TP-R,AN/H/T,0,,,, -GW,,,,R,,,,1,
,,,,,,,,,GW,G,TP-G,H,,,,, -RWY,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,, -GYR,,,,,,,,,
,,,,,,,,,GYR,R,,H/T,,,,, -RYB,,,,,,,,,
,,,,,,,,,RWR,G,,AB,,,,, +RWY,,,T,,,,,,
,,,,,,,,,RYB,G,,AB/H,,,,, +GYR,,,T,,,,,,
,,,,,,,,,RWG,R,TP-R,L,,,,, +GW,,,T,,,,,,
,,,,,,,,,RWBl,,,H,,,,, -GW,,,,,,,,,
,,,,,,,,,GBR,R,,AB,,,,, -RWY,,,,,,,,,
,,,,,,,,,,,,,,,,, +GYR,,,,,,,,,
,,,,,,,,,,,,,,,,, -GYR,,,,,,,,,
,,,,,,,,,,,,,,,,, +GYR,,,,,,,,,
,,,,,,,,,,,,,,,,, +RWG,,,AB,,,,,,
,,,,,,,,,,,,,,,,, -RWR,,,,,,,,,
,,,,,,,,,,,,,,,,, -GYG,,,,,,,,,
,,4/23/16,3:45 pm,14,6,RWBl,5,,RWBl,R,,AB/T,4,GBW,G,, -RG,,,,G,180,,,2,
,,,,,,,,,RW,G,TP-G,AN,,RWR,G,, -RWBl,,,,,,,,,
,,,,,,,,,GY,R,,,,GR,R,, -GY,,,,,,,,,
,,,,,,,,,RWY,G,TP-G,T/H,,RB,R,, -RG,,,,,,,,,
,,,,,,,,,RG,G,,L,,,,, +RWBl,,,AB,,,,,,
,,,,,,,,,,,,,,,,, +RG,,,AB,,,,,,
,,4/24/16,4:22 pm,15,13,RBY,7,0,RBY,R,,H,2,GY,G,, -RYB,R,,,,,,,0,
,,,,,,,,,RYB,R,,L,,RWBl,R,, -GW,R,,,,,,,,
,,,,,,,,,RBW,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,TP-R,T,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,TP-R,AN,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,,,,,,,,,,,
,,4/24/16,5:00 pm,16,10,GW,9,0,GW,R,TP-R,AB,4,RBW,R,, -RBW,,,,,,,,0,
,,,,,,,,,RWBl,R,,AB,,RWY,G,, -GWR,R,,,,,,,,
,,,,,,,,,RG,R,,T,,R_,G,, +GWR,,,AB,,,,,,
,,,,,,,,,GYR,G,,L,,RWR,R,,,,,,,,,,,
,,,,,,,,,RW,R,,,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,T/H,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,W,,,,,,,,,,,,,,
,,,,,,,,,GWR,,,AB,,,,,,,,,,,,,,
,,,,,,,,,GWY,,,T,,,,,,,,,,,,,,
