frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
15,SCSR,2/4/16,7:15 pm,1,60,RYW,7,0,RYW,G,,AN,,,,, -RR,G,,,,,,,,
,,,,,,,,,GYBl,G,,W,,,,, +RR,,,W,,,,,,
,,,,,,,,,GG,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,H,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,W,,,,,,,,,,,,,,
,,2/5/16,3:55 pm,2,20,GB,15,0,GB,R,,AB/L,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,W,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,H,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,T,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GWB,G,,,,,,,,,,,,,,,,
,,2/8/16,4:44 pm,3,12,RG,22,,RG,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,T,,,,,,,,,,,,,,
,,,,,,,,,RWB,G,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,W,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,,,,,,,,,,,,,,,
,,,,,,,,,GWR,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,L/W,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,W,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,H,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,,,,,,,,,,,,,,,
,,,,,,,,,GYB,R,,,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,,,,,,,,,,,,,,,
