frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
19,DC,2/13/16,10:04 am,1,68,GW,13,,GW,G,TP-G,AN/W,1,RBl,G,, -RWB,,WEB,,G,,,,1,
,,,,,,,,,RWB,G,,AN,,,,, -GYW,,,,,,,,,
,,,,,,,,,GWR,R,,W,,,,TP-DOWN, +GYW,,,,,,,,,
,,,,,,,,,GYW,G,TP-G,L,,,,, -GYG,,,,,,,,,
,,,,,,,,,GYG,G,,AB,,,,, +GYG,,,,,,,,,
,,,,,,,,,GWG,R,,AB,,,,, -GY ,,,,,,,,,
,,,,,,,,,GY,G,,AB,,,,, +GY ,,,,,,,,,
,,,,,,,,,RR,R,,H,,,,, -RB,G,,,,,,,,
,,,,,,,,,RB,G,,AB,,,,, -RBY,,,,,,,,,
,,,,,,,,,GWY,G,,H,,,,, +RB,,,,,,,,,
,,,,,,,,,RBY,G,,AB,,,,TP-G, -GYB,G,,,,,,,,
,,,,,,,,,RYG,R,,W/AB,,,,, +GYB,,,,,,,,,
,,,,,,,,,GYB,R,,AB,,,,, -GWG,,WEB,,,,,,,
,,2/15/16,4:10 pm,2,35,GBR,2,,GBR,G,TP-G,W,1,GBY,G,,,,,,G,60,340,,4,
,,,,,,,,,GWG,G,,W,,,,,,,,,,,,,,
,,2/16/16,4:25 pm,3,9,GG,7,,GG,G,,,10,RWR,R,, -GG,,,,,,,,0,
,,,,,,,,,GWR,G,TP-G,L,,GW,R,, -RWY,,,,,,,,,
,,,,,,,,,GYBl,G,TP-UP,H,,GBG,G,, -GW,,WEB,,,,,,,
,,,,,,,,,RYW,R,,W,,GYW,G,, +RWY,,,,,,,,,
,,,,,,,,,RR,R,,AB,,RW,G,, +GWR,,,,,,,,,
,,,,,,,,,RWY,R,,AB,,GWG,G,,,,,,,,,,,
,,,,,,,,,GB,G,,L,,GYG,G,,,,,,,,,,,
,,,,,,,,,,,,,,GB ,G,,,,,,,,,,,
,,,,,,,,,,,,,,GYB,G,,,,,,,,,,,
,,,,,,,,,,,,,,RYG,R,,,,,,,,,,,
,,,,,,,,,,,,,,RR,R,,,,,,,,,,,
,,2/17/16,9:50 am,4,70,GYW,9,0,GYW,G,,W/AB,2,GW,G,, -GBW,G,,,G,,,,1,
,,,,,,,,,GWBl,G,,T,,RW,G,, +GBW,,,,,,,,,
,,,,,,,,,RYG,G,,H/T,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,H,,,,,,,,,,,,,,
,,,,,,,,,GBW,G,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,W,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,H,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RYW,,,,,,,,,,,,,,,,,
,,2/18/16,3:55 pm,5,20,RW,5,0,RW,G,,W,8,RYG,G,, -RR,,,,,,,,0,
,,,,,,,,,RBW,G,,H,,RWB,G,, -RW,,,,,,,,,
,,,,,,,,,RR,G,,H/W,,RBY,G,, -GYB,,WEB,,,,,,,
,,,,,,,,,GYB,R,,AB,,GYBl,G,, +GYB,,,W,,,,,,
,,,,,,,,,RBY,,,AB,,GB,G,, -RBY,,WEB,,,,,,,
,,,,,,,,,,,,,,GYW,G,, -RBW,,,,,,,,,
,,,,,,,,,,,,,,GBY,G,, -GYB,,WEB,,,,,,,
,,,,,,,,,,,,,,RBl,R,,,,,,,,,,,
,,2/19/16,4:40 pm,6,24,GW,6,0,GW,G,,W,2,GWBl,G,, -GBG,,WEB,,G,,309,,4,
,,,,,,,,,RYG,R,,L,,GYBl,G,, -GBY,,,,,,,,,
,,,,,,,,,GBY,G,,L,,,,, -GY,,,,,,,,,
,,,,,,,,,GBG,R,,H,,,,, -GW,,,,,,,,,
,,,,,,,,,GY,R,,AN/H,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,TP-G,W,,,,,,,,,,,,,,
,,2/20/16,11:34 am,7,8,GYG,6,0,GYG,G,TP-G,L,2,GYR,R,, -RWBl,,WEB,,G,,276,,4,
,,,,,,,,,GB,G,TP-G,L,,GWBl,R,, -RWR,,,,,,,,,
,,,,,,,,,RWR,G,,L,,,,, -RYR,,,,,,,,,
,,,,,,,,,RWBl,G,,AB,,,,, +RYR,,,,,,,,,
,,,,,,,,,RYR,G,,W/AB,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,T,,,,,,,,,,,,,,
,,2/22/16,3:45 pm,8,9,GYW,7,0,GYW,G,TP-G,W,5,GYG,R,, -GWR,,,,,,,,0,
,,,,,,,,4,GWR,G,,L,,RYG,R,, -GYR,,,,,,,,,
,,,,,,,,8,GYR,R,,H,,GY,R,, -GWB,,,,,,,,,
,,,,,,,,52,GWB,G,,L,,RB,R,, -GYG,,,,,,,,,
