frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
11,SCSR,2/16/16,12:10 pm,1,9,RYB,13,0,RYB,R,,L,6,GRG,R,, -RGR,,WEB,,,,,,0,,
,,,,,,,,,GYB,R,,H/AB,,GYG,R,, -GYB,,,,,,,,,,
,,,,,,,,,RBR,R,,W,,GG,G,, -GBR,,,,,,,,,,
,,,,,,,,,GBR,G,,L,,GR,G,, +GBR,,,,,,,,,,
,,,,,,,,,RR,R,TP-R,W,,GYW,G,, +RGR,,,,,,,,,,
,,,,,,,,,RBl,G,,L/AB,,GYR,R,, -GBR,G,,,,,,,,,
,,,,,,,,,RGR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,TP-R,T,,,,,,,,,,,,,,,
,,,,,,,,,RG ,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GRBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RGY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RGBl,R,,W,,,,,,,,,,,,,,,
,,2/17/16,3:15 pm,2,472,RGB,1,0,RGB,G,TP-G,L,0,,,, -RGB,,WEB,,,,,,0,,
,,,,,,,,,,,,,,,,, +RGB,,,,,,,,,,
,,2/18/16,11:15 am,3,30,GY,8,0,GY,R,,H,3,RYG,G,, -RR,,,,,,,,0,,
,,,,,,,,,RGY,G,TP-DOWN,L,,GYW,G,, +RR,,,H,,,,,,,
,,,,,,,,,RBR,R,,H,,RGBl,G,,,,,,,,,,,,
,,,,,,,,,RYB,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,AB,,,,,,,,,,,,,,,
,,2/19/16,12:55PM,4,1,GY,7,0,GY,R,,L,3,GBY,G,, -GRY,,WEB,,,,,,0,,
,,,,,,,,,RGW,R,,L/H,,RGBl,G,, +GRY,,,AB,,,,,,,
,,,,,,,,,RBR,R,,L/H,,RBY,G,, -RGW,,,,,,,,,,
,,,,,,,,,GYW,G,,L,,,,, +RGW,,,,,,,,,,
,,,,,,,,,RG,G,,L/H,,,,, -GYW,,,,,,,,,,
,,,,,,,,,RW,R,,W,,,,, +GYW,,,AB,,,,,,,
,,,,,,,,,GRY,R,,AB,,,,,,,,,,,,,,,
,,2/20/16,3:50 pm,5,10,GYW,7,0,GYW,R,,H,2,RBl,R,, -RYG,,,,,,,,0,,
,,,,,,,,,GYR,G,TP-G,L/AB,,RWR,R,, -RGW,,,,,,,,,,
,,,,,,,,,RGY,R,,W,,,,, +RYG,,,,,,,,,,
,,,,,,,,,RYR,R,TP-R,AB,,,,, +RGW,,,,,,,,,,
,,,,,,,,,GR ,R,,L,,,,, -RYR,,,,,,,,,,
,,,,,,,,,RYG,G,TP-G,L,,,,, +RYR,,,,,,,,,,
,,,,,,,,,RGW,G,,L,,,,, -RGY,,,,,,,,,,
,,2/22/16,12:39 pm,6,NO,,,,,,,,0,,,,,,,,,,,,0,,
,,2/23/16,4:02 pm,7,5,RYR,8,0,RYR,R,,L,4,GB,R,, -GG,,,,,,,,0,,
,,,,,,,,,GBl,G,TP-DOWN,L,,GR,R,, +GG,,,H,,,,,,,
,,,,,,,,,RB,G,,L,,RYG,R,, -GG,,,,,,,,,,
,,,,,,,,,GWR,R,,W,,RBl,R,,,,,,,,,,,,
,,,,,,,,,GG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,T,,,,,,,,,,,,,,,
,,2/25/16,12:15PM,8,12,GYW,11,0,GYW,G,TP-R,L,0,,,, -GYW,,WEB,,,,,,0,,
,,,,,,,,,RR,R,,L,,,,, -GR,,,,,,,,,,
,,,,,,,,,RYB,R,,W,,,,, -RW,,WEB,,,,,,,,
,,,,,,,,,RB,R,,H,,,,, -RG,,WEB,,,,,,,,
,,,,,,,,,RW,R,,AB,,,,, -RYBl,,,,,,,,,,
,,,,,,,,,GY,G,,W,,,,, -RYB,,,,,,,,,,
,,,,,,,,,RG,R,WEB,AN,,,,, -GY,,,,,,,,,,
,,,,,,,,,GR,G,,L,,,,, +GYW,,,,,,,,,,
,,,,,,,,,RYBl,R,,H,,,,, +GR,,,,,,,,,,
,,,,,,,,,RYB,R,,H,,,,, +RG,,,,,,,,,,
,,,,,,,,,RGY,G,,H,,,,, +RYBl,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RYB ,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GY ,,,,,,,,,,
,,2/26/16,12:10PM,9,30,GRG,7,0,GRG,R,TP-R,AB,3,RR,G,, -RYG,,WEB,,,,,,0,,
