frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
24,DC,5/11/16,12:11 pm,1,13,GBl,4,0,GBl,R,,AN/H,2,RWY,,,,,,,,,,,0,
,,,,,,,,3,GYBl,R,,AN/T,,RB,R,,,,,,,,,,,
,,,,,,,,59,RR,G,,W/AB,,,,,,,,,,,,,,
,,,,,,,,552,RYB,G,,AB,,,,,,,,,,,,,,
,,5/11/16,3:00 pm,2,5,RYBl,7,0,RYBl,G,,H,2,GWG,G,, -RWY,R,,,,,,,0,
,,,,,,,,1,GBl,G,,AB,,RYB,G,, -GWBl,,,,,,,,,
,,,,,,,,1,GWBl,R,,T,,,,, +GYBl,,,AB,,,,,,
,,,,,,,,23,GYR,G,,H/L,,,,,,,,,,,,,,
,,,,,,,,24,GYBl,G,,H,,,,,,,,,,,,,,
,,,,,,,,50,RWY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,55,RYG,R,,L,,,,,,,,,,,,,,
,,5/12/16,11:14 am,3,10,RWR,8,0,RWR,G,TP-G,L/AB,0,,,, -RR,,,,,,,,0,
,,,,,,,,2,RR,G,,W,,,,, -RYR,,WEB,,,,,,,
,,,,,,,,3,GG,G,,L/AB,,,,, -GG,,,,,,,,,
,,,,,,,,14,RYB,R,,W,,,,, +GG,,,AB,,,,,,
,,,,,,,,19,RWBl,G,,T,,,,, +RR,,,AB,,,,,,
,,,,,,,,21,GR,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,AN/H,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,AB,,,,,,,,,,,,,,
,,5/12/16,12:24 pm,4,5,GG,7,0,GG,G,,T,1,RB,R,, -GYB,,,,,,,,0,
,,,,,,,,4,RYB,R,,L/AB,,,,, +GYB,T,,T,,,,,,
,,,,,,,,6,GYB,G,,T,,,,,,,,,,,,,,
,,,,,,,,9,GBR,G,,H,,,,,,,,,,,,,,
,,,,,,,,17,GW,R,TP-R,L/AB,,,,,,,,,,,,,,
,,,,,,,,209,RWR,R,,AB,,,,,,,,,,,,,,
,,,,,,,,255,RY,R,,T,,,,,,,,,,,,,,
,,5/12/16,2:08 pm,5,20,GBl,3,0,GBl,R,,L,8,GYB,G,, -GW,,WEB,, -,,,,0,
,,,,,,,,7,RWR,G,,L/AB,,GYR,R,, -GBl,,,,,,,,,
,,,,,,,,20,GW,R,,L,,GWR,R,, +GW,,,L,,,,,,
,,,,,,,,,,,,,,RR,G,, -RWR,,,,,,,,,
,,,,,,,,,,,,,,RBl,R,,,,,,,,,,,
,,,,,,,,,,,,,,RYG,R,,,,,,,,,,,
,,,,,,,,,,,,,,GWG,R,,,,,,,,,,,
,,,,,,,,,,,,,,GG,G,,,,,,,,,,,
,,5/12/16,2:45 pm,6,2,GWG,4,0,GWG,G,,L,2,RWB,G,, -GWG,,,,R,113,,,4,
,,,,,,,,0,RWBl,G,,AB,,RW,G,, -RWBl,,,,,,,,,
,,,,,,,,1,RY,G,,L,,,,, -RY,,,H,,,,,,
,,,,,,,,1,RR,R,TP-R,W,,,,,,,,,,,,,,
,,5/13/16,12:17 pm,7,5,GW,5,0,GW,R,,T,1,RYG,R,, -RR,R,,, -,,,,0,
,,,,,,,,3,RWBl,G,TP-G,T/AB,,,,, -RWB,,,,,,,,,
,,,,,,,,5,GYG,R,TP-R,L/AB,,,,, +RWB,,,H,,,,,,
,,,,,,,,18,RR,R,,,,,,,,,,,,,,,,
,,,,,,,,20,RWB,G,TP-R,W/AN/AB,,,,,,,,,,,,,,
,,5/13/16,2:10PM,8,4,RYBl,5,0,RYBl,G,,L,8,RWBl,G,,,,,,,,,,0,
,,,,,,,,2,RYW,R,,L,,RYR,G,,,,,,,,,,,
,,,,,,,,2,RYG,G,,L/T,,RG,G,,,,,,,,,,,
,,,,,,,,5,GY,R,TP-R,W/AB,,GWG,G,,,,,,,,,,,
,,,,,,,,14,RWR,G,,L,,GYBl,G,,,,,,,,,,,
,,,,,,,,,,,,,,GYB,R,,,,,,,,,,,
,,,,,,,,,,,,,,GG,R,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,R,WEB,,,,,,,,,,
,,5/13/16,3:20 pm,9,4,RY,9,0,RY,R,,L,4,RYR,R,, -RB,G,,, -,,,,0,
,,,,,,,,6,RYG,G,,L,,RYB,R,, -RWBl,,,,,,,,,
,,,,,,,,11,RW,G,,H,,GB,G,, -RYG,,,,,,,,,
,,,,,,,,16,RWBl,G,,T/AB,,RWG,G,, -RW,,,,,,,,,
,,,,,,,,19,GR,R,,AN,,,,, -RY,,,,,,,,,
,,,,,,,,22,GYG,G,,AN,,,,, +RW,,,AB,,,,,,
,,,,,,,,34,RB,G,,,,,,, +RY,,,AB,,,,,,
,,,,,,,,34,RWB,R,,T,,,,,,,,,,,,,,
,,,,,,,,38,RWR,R,,T,,,,,,,,,,,,,,
,,5/13/16,4:20 pm,10,38,GG,8,0,GG,G,,W,2,RR,R,, -RWBl,,,,R,97,,,2,
,,,,,,,,1,RY,R,TP-R,AB/T,,RBl,G,, -RG,,,,,,,,,
,,,,,,,,1,RWBl,R,,W,,,,, -GG,,,,,,,,,
,,,,,,,,6,RG,G,,L,,,,, +RG,,,AB,,,,,,
,,,,,,,,82,GW,,,L/H,,,,,,,,,,,,,,
,,,,,,,,122,GR,G,,L/H,,,,,,,,,,,,,,
,,,,,,,,142,RWR,R,,AB,,,,,,,,,,,,,,
,,,,,,,,167,RWB,R,TP-R,H/T,,,,,,,,,,,,,,
,,5/14/16,12:10 pm,11,52,RYG,3,0,RYG,R,TP-R/WEB,W/L,4,RYR,R,, -RYG,,,,R,261, -, -,2,
,,,,,,,,54,RWR,R,TP-R,L/H,,GYB,R,, +RYG,,,AB,,,,,,
,,,,,,,,189,GYR,G,,AB/W/T,,RYB,R,,,,,,,,,,,
,,,,,,,,,,,,,,RBY,G,,,,,,,,,,,
,,5/14/16,1:44 pm,12,9,GYR,6,0,GYR,G,TP-G,W/AB/T,7,RW,R,, -,,,, -,,,,0,
,,,,,,,,11,RWR,R,TP-R,L/H,,RWY,R,,,,,,,,,,,
,,,,,,,,25,GYB,R,,AN,,RY,R,,,,,,,,,,,
,,,,,,,,113,RR,R,,H,,RYB,R,,,,,,,,,,,
,,,,,,,,142,RBY,R,,W,,GW,G,,,,,,,,,,,
,,,,,,,,268,RYG,R,,L/AB,,GWR,G,,,,,,,,,,,
,,,,,,,,,,,,,,GWBl,G,,,,,,,,,,,
,,5/14/16,2:21 pm,13,2,GW,7,0,GW,R,,L/AB/H/AB,3,RBR,R,, -GYR,R,,, -, -, -, -,0,
,,,,,,,,5,GYR,G,,STING,,RWR,R,, -GBG,,,,,,,,,
,,,,,,,,12,RWBl,G,,T/AB,,GR,R,, +GBG,,,T,,,,,,
,,,,,,,,15,GBG,R,,H,,,,, -RWBl,,,,,,,,,
,,,,,,,,78,RW,R,,W/T/AB,,,,, +RWBl,,,AB,,,,,,
,,,,,,,,421,RYG,R,,H,,,,,,,,,,,,,,
,,,,,,,,469,GYG,,,L,,,,,,,,,,,,,,
,,5/14/16,3:08 pm,14,11,RB,4,0,RB,R,,W/T,6,RG,G,, -RYBl,,,,R,95,284,189,4,
,,,,,,,,3,GYG,R,,AN,,RYG,G,, -GYG,,,,,,,,,
,,,,,,,,21,GYB,G,,W,,GYBl,G,, +GYG,,TP-TOP,,,,,,,
,,,,,,,,26,RYBl,G,,L,,RYR,R,, +RYBl,,TP-R,,,,,,,
,,,,,,,,,,,,,,RW,R,,,,,,,,,,,
,,,,,,,,,,,,,,RWY,R,,,,,,,,,,,
,,5/15/16,3:56 pm,15,1,GYG,5,0,GYG,UP,TP-R,H/T,6,RY,R,, -RWY,,,,R,423, -, -,3,
,,,,,,,,4,GBG,R,,H,,RYG,R,, -GBG,G,,,,,,,,
,,,,,,,,9,RG,G,,L/AB,,RW,R,,,,,,,,,,,
,,,,,,,,16,GW,R,TP-R,L/T,,GR,R,,,,,,,,,,,
,,,,,,,,46,RWY,R,,AB,,RYR,R,,,,,,,,,,,
,,,,,,,,,,,,,,GG,G,,,,,,,,,,,
,,5/15/16,1:00 pm,16,5,RWBl,6,0,RWBl,R,,L/AB,4,RY,R,, -RWBl,,,, -, -, -, -,0,
,,,,,,,,6,GR,G,,AN,,RWR,R,, -GR,,,,,,,,,
,,,,,,,,15,RW,R,,L,,RYR,R,, -RW,,,,,,,,,
,,,,,,,,19,RB,R,,W,,GG,R,, -RB,,,,,,,,,
,,,,,,,,75,GBG,G,,W/T,,,,, +RWBl,,,L,,,,,,
,,,,,,,,88,RBG,R,TP-DOWN,T,,,,, -GBG,,,,,,,,,
,,,,,,,,,,,,,,,,, +GBG,,TP-UP,AB,,,,,,
,,5/15/16,1:52 pm,17,14,RWY,5,0,RWY,R,,AN/L,3,RBR,G,, -RWY,,,,R,81,122,41,4,
,,,,,,,,1,RWBl,R,TP-R,T,,RBY,R,, -GG,,,,,,,,,
,,,,,,,,2,GG,G,,AB,,RWB,R,, -RB,,,,,,,,,
,,,,,,,,7,RB,R,,AB,,,,, -RR,,,,,,,,,
,,,,,,,,44,RR,G,,L,,,,,,,,,,,,,,
,,5/15/16,2:26 pm,18,2,GG,6,0,GG,R,TP-R,L/H,5,RYR,R,, -RWY,,,, -,,,,0,
,,,,,,,,4,RWY,G,,L,,RYG,R,, -GG,,,,,,,,,
,,,,,,,,51,RR,G,,L,,RBG,R,, +GG,,,H,,,,,,
,,,,,,,,74,RWBl,G,TP-R,L/AB,,GBY,G,, +RWY,,,AB,,,,,,
,,,,,,,,88,RWG,R,,AN/L,,RWB,G,, -RR,,,,,,,,,
,,,,,,,,379,GYBl,R,,AB,,,,, -GYBl,,,,,,,,,
,,,,,,,,,,,,,,,,, +GYBl,,,AB,,,,,,
,,,,,,,,,,,,,,,,, +RR,,TP-G,T,,,,,,
,,5/16/16,3:14 pm,19,2,RBY,9,0,RBY,G,,L,3,RYG,G,, -GBl,,,, -,,,,0,
,,,,,,,,6,RWBl,R,,L,,RBY,R,, -RBY,,,,,,,,,
,,,,,,,,8,GBl,G,,AB,,RBG,R,, -RG,,,,,,,,,
,,,,,,,,28,RG,R,,W,,,,, +RG,,,AB,,,,,,
,,,,,,,,39,RY,R,,AN,,,,,  -RYB,,,,,,,,,
,,,,,,,,67,GYBl,G,,AB,,,,, +GBl,,,H,,,,,,
,,,,,,,,92,RB,R,,H,,,,, +RYB,,,H,,,,,,
,,,,,,,,,GW,G,TP-G,AB,,,,, -RYG,,,,,,,,,
,,,,,,,,,RYB,R,,T,,,,, +RYG,,,H,,,,,,
,,5/16/16,4:12 pm,20,3,RYR,10,0,RYR,R,,L,5,RWY,R,, -RYR,R,,, -,,,,0,
,,,,,,,,5,RYBl,R,,L/H,,GBl,R,,,,,,,,,,,
,,,,,,,,31,RR,R,,L/AB,,GYG,G,,,,,,,,,,,
,,,,,,,,35,RBG,R,,T,,RBR,G,,,,,,,,,,,
,,,,,,,,87,GR,G,,H,,RYB,G,,,,,,,,,,,
,,,,,,,,87,GBR,G,,H,,,,,,,,,,,,,,
,,,,,,,,109,RYW,R,,T,,,,,,,,,,,,,,
,,,,,,,,151,RYG,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,T,,,,,,,,,,,,,,
,,5/16/16,5:06 pm,21,7,RBY,5,0,RBY,UP,,L,0,,,, -RWR,,WEB,,R,174,,,1,
,,,,,,,,15,GB,R,,W,,,,, -RBY,,,,,,,,,
,,,,,,,,31,RR,R,,AB,,,,, -GB,,,,,,,,,
,,,,,,,,45,RY,G,TP-R,AB,,,,, -RR,,,,,,,,,
,,,,,,,,56,RWR,R,,AN,,,,, +RR,,,L,,,,,,
,,,,,,,,,,,,,,,,, +GB,,,H,,,,,,
,,5/17/16,2:35 pm,22,1,RBY,10,0,RBY,R,,L/AB,3,GYB,G,, -GYR,,,, -,,,,0,
,,,,,,,,5,RYR,G,,W/AB,,GBR,R,, -RWR,G,,,,,,,,
,,,,,,,,13,RB,R,,L/T,,RG,R,, -RBR,,,,,,,,,
,,,,,,,,18,RWR,R,,L/H,,,,, +RBR,,,AB,,,,,,
,,,,,,,,30,GBl,G,,W/AB,,,,, +GYR,,,H,,,,,,
,,,,,,,,39,GYR,G,,L,,,,, -RBR,,,,,,,,,
,,,,,,,,57,RBR,G,,L,,,,, +RBR,,,AB,,,,,,
,,,,,,,,146,RR,G,,AB,,,,, +RWR,,,AB,,,,,,
,,,,,,,,317,RW,R,,AB,,,,, -RBR,,,,,,,,,
,,,,,,,,503,RY,G,,H,,,,, +RBR,,,H,,,,,,
,,5/17/16,3:30 pm,23,3,RR,10,0,RR,R,,L/AB,5,RBY,G,, -RY,,,, -,,,,0,
,,,,,,,,3,RB,R,,L/AB,,GYR,G,, -GBl,,,,,,,,,
,,,,,,,,10,GYBl,R,,T/H,,GYB,G,, +GBl,,,L/T,,,,,,
,,,,,,,,20,RW,R,,T/AB,,RWY,R,,,,,,,,,,,
,,,,,,,,49,RY,R,,T,,RBR,R,,,,,,,,,,,
,,,,,,,,70,RYBl,R,,L/H,,,,,,,,,,,,,,
,,,,,,,,79,GBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,88,RBR,R,,W/AB,,,,,,,,,,,,,,
,,,,,,,,103,RYW,R,,L/T,,,,,,,,,,,,,,
,,,,,,,,167,RYB,R,,AB,,,,,,,,,,,,,,
,,5/17/16,4:05 pm,24,9,RYBl,10,0,RYBl,DOWN,,L/AB,4,RB,R,, -GWR,,,, -,,,,0,
,,,,,,,,1,GWR,R,,W/T,,GBG,R,, -RW,,WEB,,,,,,,
,,,,,,,,11,GBl,R,,AB,,GYBl,G,, +RW,,,AB,,,,,,
,,,,,,,,12,RWY,G,,L/T/AB,,RYB,G,,,,,,,,,,,
,,,,,,,,14,RG,R,,T/AB,,,,,,,,,,,,,,
,,,,,,,,54,GB,R,,AB,,,,,,,,,,,,,,
,,,,,,,,74,RW,R,,L,,,,,,,,,,,,,,
,,,,,,,,102,GR,R,TP-DOWN,H,,,,,,,,,,,,,,
,,,,,,,,152,RBY,R,,T/AB,,,,,,,,,,,,,,
,,,,,,,,169,RWR,R,,AB,,,,,,,,,,,,,,
,,5/17/16,5:15 pm,25,6,GYBl,6,0,GYBl,G,TP-R,AB,4,RW,G,,  -RBY,,WEB,, -,,,,0,
,,,,,,,,3,GBY,R,,T,,RB,G,, +RBY,,,AB,,,,,,
,,,,,,,,27,GYR,G,TP-G,L/T,,GYR,G,, -GBY,,,,,,,,,
,,,,,,,,37,GBR,G,,W,,RG,R,, -GBR,,,,,,,,,
,,,,,,,,84,GYG,G,,W,,,,, -GYG,,,,,,,,,
,,,,,,,,101,RBY,R,,L,,,,, +GBY,,,AB,,,,,,
,,,,,,,,,,,,,,,,, -GBY,,,,,,,,,
,,,,,,,,,,,,,,,,, -RBY,,,,,,,,,
,,,,,,,,,,,,,,,,, -RWR,,WEB,,,,,,,
,,,,,,,,,,,,,,,,, -RYW,,,,,,,,,
