frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
22,SCDR,3/4/16,11:00 am,1,273,GR,6,0,GR,R,TP-R,H,1,GW,G,, -RR,,,,R,,,,0,
,,,,,,,,,RR,R,,L,,,,, +RR,,,L/AB,,,,,,
,,,,,,,,,RB,R,,T,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,AN/H,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,AB,,,,,,,,,,,,,,
,,3/8/16,5:30 pm,2,3,RBW,9,0,RBW,G,,L,5,GBl,G,, -GWBl,,,,,,,,0,
,,,,,,,,,GYW,G,TP-G,H,,RR,R,,,,,,,,,,,
,,,,,,,,,GWBl,G,,L,,GBG,R,,,,,,,,,,,
,,,,,,,,,RYBl,R,,L,,RYG,R,,,,,,,,,,,
,,,,,,,,,GBW,R,,L,,RW,R,,,,,,,,,,,
,,,,,,,,,RWBl,G,,H,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,H,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,AB,,,,,,,,,,,,,,
,,3/9/16,12:00 pm,3,8,RYBl,11,0,RYBl,R,,L,2,GWBl,G,,,,,,,,,,0,
,,,,,,,,,RWG,G,,T,,GW,G,,,,,,,,,,,
,,,,,,,,,GBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,,T,,,,,,,,,,,,,,
,,,,,,,,,GYR,,,H,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GBW,,,L,,,,,,,,,,,,,,
,,3/10/16,3:00 pm,4,,RG,10,0,RG,G,,W/T,5,UNMARKED,R,, -RBW,,,,,,,,0,
,,,,,,,,,GR,R,TP-R,W/H,,GBl,R,, -RYBl,,,,,,,,,
,,,,,,,,,RBG,G,,H/AB,,GYBl,R,,,,,,,,,,,
,,,,,,,,,GYR,,,AB,,GWB,R,,,,,,,,,,,
,,,,,,,,,RYB,R,,L,,RY,G,,,,,,,,,,,
,,,,,,,,,RBY,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RB,,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,AB,,,,,,,,,,,,,,
,,3/12/16,11:35 am,5,4,RBG,11,0,RBG,R,,L,1,RB,,, -RBG,,,,,,,,0,
,,,,,,,,,RYR,G,,T,,,,, +RBG,,,H,,,,,,
,,,,,,,,,GYG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,H,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,AN/H,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,L/AB,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,,AB,,,,,,,,,,,,,,
,,3/13/16,5:25 pm,6,2,RR,10,0,RR,FRAME,,L,5,UNMARKED,R,, -RW,,,,,,,,0,
,,,,,,,,,RBR,R,,L,,GWR,R,, -GBl,,WEB,,,,,,,
,,,,,,,,,RBW,G,,W/T,,RYBl,R,,,,,,,,,,,
,,,,,,,,,RW,R,,,,GG,R,,,,,,,,,,,
,,,,,,,,,GYG,R,,AN/H,,GBG,R,,,,,,,,,,,
,,,,,,,,,GBl,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RG,,,L,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,T,,,,,,,,,,,,,,
,,,,,,,,,GY,,,H,,,,,,,,,,,,,,
,,3/15/16,3:45 pm,7,11,GYR,7,0,GYR,R,,L/AB,4,GBG,R,, -GBl,,,,,,,,0,
,,,,,,,,,GBl,G,,L,,GG,R,, +GBl,,,AB,,,,,,
,,,,,,,,,RB,R,TP-R,W,,GYG,G,, -GYR,,,,,,,,,
,,,,,,,,,GBG,R,,L,,RW,G,WEB, +GYR,,,T,,,,,,
,,,,,,,,,GWBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,TP-R,T,,,,,,,,,,,,,,
,,,,,,,,,GYW,,,H,,,,,,,,,,,,,,
,,3/16/16,9:52 am,8,,GYW,4,0,GYW,G,WEB,H,2,GYW,G,, -RBY,,WEB,,,,,,0,
,,,,,,,,,RG,G,TP-DOWN,L/H,,RG,R,,,,,,,,,,,
,,,,,,,,,RBY,G,,L,,,,, -GYW,,,,,,,,,
,,,,,,,,,RYG,G,,L,,,,, +GYW,,WEB,,,,,,,
,,,,,,,,,,,,,,,,, -GYW,,WEB,,,,,,,
,,,,,,,,,,,,,,,,, +GYW,,WEB,AB,,,,,,
,,3/17/16,2:30 pm,9,23,RBR,12,,RBR,UP,,L,2,RW,R,, -GB,,,,,,,,0,
,,,,,,,,,RBW,G,,L,,GWG,G,,,,,,,,,,,
,,,,,,,,,GY,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,AB/H,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,T,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,T,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,T,,,,,,,,,,,,,,
,,,,,,,,,GBG,,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWG,,,AB,,,,,,,,,,,,,,
