frame ID,TEARTMENT,Date,Time,Trail No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,toal time for pulling,intensity of pulling ***,Remarks
13,DC,2/4/16,6:50 pm,1,110,RWG,3,0,RWG,R,TP-R,ANTENNA,,,,, - RWG,,,, - ,,,,,
,,,,,,,,,GB,R,TP-up,LEG,,,,, + RWG,,,,,,,,,
,,,,,,,,,RWBl,G,TP,LEG,,,,, - GB,,,,,,,,,
,,,,,,,,,,,,,,,,, + GB,,,,,,,,,
,,2/5/16,2:55 pm,2,90,GWB,2,,GWB,G,TP-G,HEAD,,,,, - RBl,R,,,TOP,360,,,4,
,,,,,,,,,RBl,R,TP-R,WING,,,,,,,,,,,,,,
,,2/8/16,3:38 pm,3,6,RYR,7,,RYR,R,,LEG,,,,, - GWB,,,, - ,,,,,
,,,,,,,,,GYB,R,,THORAX/WING,,,,, + GWB,,,HEAD,,,,,,
,,,,,,,,,GWB,G,,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,ANTENNA,,,,,,,,,,,,,,
,,,,,,,,,GY ,R,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,TP-R,LEG,,,,,,,,,,,,,,
,,2/9/16,3:54 pm,4,56,GYBl,5,,GYBl,G,TP-G,LEG/ANTENNA,,,,, - RWR,,,,G,,,,,
,,,,,,,,,RYW,G,,LEG,,,,, - RYW,,,,,,,,,
,,,,,,,,,RWR,G,,HEAD,,,,, +RYW,,,ABDOMEN,,,,,,
,,,,,,,,,GG,G,TP-G,ABDOMEN,,,,, + RWR,,,WING,,,,,,
,,,,,,,,,GYG,G,,WING,,,,,,,,,,,,,,
,,2/10/16,2:22 pm,5,,RWBl,8,,RWBl,R,TP-R,WING,,,,, - GBl,,,,,,,,,
,,,,,,,,,RBl,R,TP-R,LEG,,,,, - GYB,,WEB,,,,,,,
,,,,,,,,,RBW,R,,WING,,,,, + GBl,,,ANTENNA,,,,,,
,,,,,,,,,RWY,R,,LEG,,,,, + GYB,,,,,,,,,
,,,,,,,,,GBl,G,,LEG,,,,, - GBl,R,,,,,,,,
,,,,,,,,,GWG,R,,WING,,,,, + GBl,,,HEAD,,,,,,
,,,,,,,,,GWR,R,TP-R,THORAX ,,,,, - GYB,,WEB,,,,,,,
,,,,,,,,,GYB,R,,WING,,,,, + GYB,,,,,,,,,
,,,,,,,,,,,,,,,,, - GYB,,WEB,,,,,,,
,,2/11/16,11:45 pm,6,25,RY,8,,RY,R,,WING,,,,, - GYW,,,,R,,,,,
,,,,,,,,,RG,G,,GOT STING,,,,, - RY,,,,,,,,,
,,,,,,,,,GYW,G,,HEAD,,,,, + RY,,,ABDOMEN,,,,,,
,,,,,,,,,GWB,G,TP-R,WING,,,,, - RY,,,,,,,,,
,,,,,,,,,RWY,G,,ABDOMEN,,,,, - GBW,,,,,,,,,
,,,,,,,,,RR,G,,WING,,,,, - RR,,,,,,,,,
,,,,,,,,,GBW,G,,ABDOMEN,,,,, + RR,,,ABDOMEN,,,,,,
,,,,,,,,,RWBl,R,TP-R,ABDOMEN,,,,, + GBW,,,ABDOMEN,,,,,,
,,,,,,,,,,,,,,,,, + RY,,,ABDOMEN,,,,,,
,,,,,,,,,,,,,,,,, - RWBl,R,,,,,,,,
,,,,,,,,,,,,,,,,, - RWY,,,,,,,,,
,,,,,,,,,,,,,,,,, + RWY,,,HEAD,,,,,,
,,2/13/16,3:12 pm,7,152,GWY,6,,GWY,R,TP-R,LEG,,,,, - GY,,WEB,,R,,,,,
,,,,,,,,,GYW,R,TP-R,WING,,,,, - GYW,,,,,,,,,
,,,,,,,,,GW,G,TP-up,ANTENNA,,,,, + GYW,,,ABDOMEN,,,,,,
,,,,,,,,,GWB,G,TP-R,ANTENNA,,,,, - GWY,,,,,,,,,
,,,,,,,,,GY ,G,,HEAD,,,,, - GWB,,,,,,,,,
,,,,,,,,,GYB,G,TP-G,WING,,,,, - GW,,,,,,,,,
,,,,,,,,,,,,,,,,, + GW,,,,,,,,,
,,,,,,,,,,,,,,,,, + GY ,,,,,,,,,
,,2/15/16,12:35 pm,8,4,GY,9,,GY,G,,,,,,, - GYBl,,,,G,,,,1,
,,,,,,,,,RWBl,G,,ABDOMEN,,,,, + GYBl,,,abdomen,,,,,,
,,,,,,,,,GYBl,R,,,,,,, - GBR,,,,,,,,,
,,,,,,,,,GBY,G,,ABDOMEN,,,,, + GBR,,,WING,,,,,,
,,,,,,,,,GBR,,,WING,,,,, - GWY,,,,,,,,,
,,,,,,,,,GWG,R,,WING,,,,, - GYBl,,,,,,,,,
,,,,,,,,,GYG,G,TP-G,ABDOMEN,,,,, + GYBl,,,THORAX,,,,,,
,,,,,,,,,GWY,R,,LEG,,,,, -GWG,,,,,,,,,
,,,,,,,,,RWR,R,,HEAD,,,,, + GWG,,,THORAX,,,,,,
,,,,,,,,,,,,,,,,, - GBR,G,,,,,,,,
,,2/16/16,2:10 pm,9,,GB,4,,GB,G,,HEAD/THORAX,,,,, - RWBl,,WEB,, -,,,,,
,,,,,,,,,GWG,R,,LEG/HEAD,,,,, + RWBl,,,LEG,,,,,,
,,,,,,,,,RWBl,R,,WING,,,,, - GBW,,,,,,,,,
,,,,,,,,,GBW,G,,HEAD,,,,, + GBW,,,HEAD,,,,,,
,,,,,,,,,,,,,,,,, - GBW,,,,,,,,,
,,,,,,,,,,,,,,,,, + GBW,,,WING,,,,,,
,,,,,,,,,,,,,,,,, - RYW,,,,,,,,,
,,,,,,,,,,,,,,,,, + RYW,,,,,,,,,
,,,,,,,,,,,,,,,,, - GYR,R,,,,,,,,
,,2/17/16,4:00 pm,10,20,RYW,4,,RYW,R,,LEG,,,,, - RYW,,,, - ,,,,,
,,,,,,,,,GBl,G,TP-G,HEAD,,,,, + RYW,,,,,,,,,
