frame ID,TEARTMENT,Date,Time,Trail No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,toal time for pulling,intensity of pulling ***,Remarks,,
5,DC (different colony),1/31/16,,1,37,GBY,5,0,GBY,R,TP,,,,,,- RW,up,,,R,,,,1 ?,no video,,
,,,,,,,,?,RBY,G,TP,,,,,,- RYW,up,,,,,,,,,,
,,,,,,,,?,RW,G,,,,,,,+ RYW,,tp,,,,,,,,,* = time after first attack
,,,,,,,,?,RYW,G,,,,,,,+ RW,,,,,,,,,,,** = TP - Tring to pull - towards which retreat/ web - web building
,,,,,,,,?,RYB,G,TP,,,,,,,,,,,,,,,,,
,,2/5/16,12:25,2,40,GYW,3,0,GYW,G,,Leg,2,GWR,G,,- GYW,,,,G,100,310,210,4,Comers data from video,,***= 0 - No pulling / 1- slightily pulled / 2 - midway to retreat / 3 - reach after midway bt not reach retreat / 4 - reach retreat  
,,,,,,,,8,GWR,G,TP - G,Wing / leg ,,RYB,R,,- GBG,G,,,,,,,,,,
,,,,,,,,20,GBG,G,,Leg,,,,,,,,,,,,,,,,every time data in seconds
,,2/8/16,11:20,3,19,GWBl,2,0,GWBl,G,,leg,2,RB,R,,- GWBl,,,,R,180,355,175,4,,,
,,,,,,,,2,RBl,R,TP - R,head,,GYG,R,,,,,,,,,,,,,
,,2/9/16,12:20,4,32,GWBl,3,0,GWBl,up,TP - up,Head,3,RYW,R,,- GBR,,WEB,,-,,,,0,,,
,,,,,,,,87,GBR,G,,Wing ,,GBR,G,web,- GW,,WEB,,,,,,,,,
,,,,,,,,106,GW,G,,Leg,,RYB,G,,+ GW,,,Wing,,,,,,,,
,,,,,,,,,,,,,,,,,- GW,,,,,,,,,,,
,,2/11/16,10:35,5,3,GYB,4,0,GYB,G,TP - G,Wing,1,GWR,G,,- GWBl,,,,G,272,632,360,4,,,
,,,,,,,,2,GWBl,G,,Head,,,,,- GW,,WEB,,,,,,,,,
,,,,,,,,4,GW ,R,,Wing,,,,,-RYW,,,,,,,,,,,
,,,,,,,,7,RYW,up,,Abdomen,,,,,,,,,,,,,,,,
,,2/15/16,10:15,6,30,RBG,6,0,RBG,up,,Head,5,GWBl,G,,- RYB,R,,,R,81,,-,-,,,
,,,,,,,,2,GWBl,G,TP - G,Wing / head,,RYW,up,,- RBl,up,,,,,,,,,,
,,,,,,,,5,RYW,R,TP - R,Leg,,unmarked,G,,+ RBl,,,HEAD,,,,,,,,
,,,,,,,,7,RBl,G,,Wing,,RG,R,,- RBG,up,web,,,,,,,,,
,,,,,,,,13,Unmarked,G,TP - G,Abdomen,,GW ,R,,,,,,,,,,,,,
,,,,,,,,57,RYB,up,,Leg,,,,,,,,,,,,,,,,
,,2/16/16,10:15,7,220,GWG,1,0,GWG,R,TP - R,Wing,4,GW,R,,,,,,R,2,262,260,4,,,
,,,,,,,,,,,,,,RB,R,,,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,G,,,,,,,,,,,,,
,,,,,,,,,,,,,,GWR,G,,,,,,,,,,,,,
,,2/17/16,12:45,8,16,Unmarked 1,8,0,Unmarked 1,Up,,Leg,6,GYB,G,,- unmarked,,web,,R,269,,,1,,,
,,,,,,,,4,RYG,R,TP - R / Web,Leg,,GWY,G,,- GBR,,,,,,,,,,,
,,,,,,,,11,GW,R,,wing,,GWR,G,,+ GBR,,TP - R,Leg,,,,,,,,
,,,,,,,,14,GBR,R,,wing,,RR,R,,- GW,,,,,,,,,,,
,,,,,,,,26,RG,G,,Leg,,GR,R,,- GBR,R,web,,,,,,,,,
,,,,,,,,157,RB,G,,wing / thorax,,GYG,R,,+ unmarked,,,,,,,,,,,
,,,,,,,,246,RR,R,,wing,,,,,+ GW,,,,,,,,,,,
,,,,,,,,304,Unmarked 2,G,,wing,,,,,+ GBR,,TP - R,Thorax,,,,,,,,
,,,,,,,,,,,,,,,,,- GW,,web,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ss,,,,,,,,,,,,,,,,,,,,,
