frame ID,TREATMENT,Date,Time,Trail No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,toal time for pulling,intensity of pulling ***,Remarks,,,,,,,,,,,,,,,,,,,,
8,SCSR,1/2/16,4:20PM,1,34,RWR,4,,RWR,G,,Antenna/Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,TP-G,LEG/ABDOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GG,R,TP-R,LEG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,LEG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/2/16,3:58PM,2,30,RWY,12,,RWY,,,LEG/Head,,,,, -RWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,,,,,, -GR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,G,,WING,,,,, +RWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,,THORAX,,,,, +GR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,ABDOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,ABDOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWB,,,LEG/WING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYW,,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5/2/16,1:30PM,3,140,RBW,2,,RBW,G,,WING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,THORAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8/2/16,11:50AM,4,28,RBY,8,,RBY,R,TP,LEG/WING,,,,, -RBR,R,,,RED,,,,1,,,,* = time after first attack,,,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,,,,,, -RWR,,,,,,,,,,,,** = TP - Tring to pull - towards which retreat/ web - web building,,,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,WING,,,,, -GR,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,THORAX,,,,, -GYG,R,,,,,,,,,,,***= 0 - No pulling / 1- slightily pulled / 2 - midway to retreat / 3 - reach after midway bt not reach retreat / 4 - reach retreat  ,,,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,,ABDOMEN,,,,, +RWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,ABDOMEN,,,,, -GBR,R,,,,,,,,,,,every time data in seconds,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,WING,,,,, -RWR,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,LEG,,,,, +RWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GR,,TP,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/2/16,12:55AM,5,12,GB,12,,GB,G,, LEG,,,,, -GB ,,WEB,,RED,,,,2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,TP-R,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/2/16,11:18AM,6,10,GY,7,,GY,G,,HEAD/ANTENNA,,,,, -GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,TP-R,ABDOMEN,,,,, +GR,,,ABDOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED1,R,TP-R,ABDOMEN,,,,, -UNMARKED2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBW,G,TP-G,HEAD/ANTENNA,,,,, +UNMARKED2,,,ABDOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED2,R,,ABDOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,ANTENNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,TP,ABDOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15/2/2016,10:35AM,7,30,RR,4,,RR,UP,WEB,HEAD,4,GYG,G,, -RWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,TP-R,HEAD/ABDOMEN,,GYW,R,, -RBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,ABDOMEN,,RYR,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,HEAD,,GWG,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16/2/2016,10:25AM,8,37,RBR,7,,RBR,R,,HEAD,1,GYW,R,, -GWY,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,LEG,,,,, -RWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,WING,,,,, +RWY,,,THORAX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,TP-UP,LEG,,,,, +GWY,,,ABDOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,TP-UP,WING,,,,, -RWG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17/2/2016,2:35PM,9,20,UNMARKED,3,,UNMARKED,R,TP-R,LEG/HEAD/WING,6,GYB,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,TP-G/WEB,LEG,,GWY,G,, -UNMARKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,LEG,,GWR,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RR,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GR,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18/2/2016,10:32AM,10,,RWR,9,,RWR,R,,WING/ABDOMEN,4,GYW,R,, -RBG,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,LEG,,RWY,G,, -GR,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,G,,LEG/HEAD ,,RYR,R,, -RBR,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED1,G,TP-G,LEG,,,,, +RBR,,TP,WING,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED2,R,,LEG,,,,, -RBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,HEAD,,,,, +RBR,,TP,THORAX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBR,G,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
