frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,,,,,,,,,,,,,,
5,DC,1/31/16,,1,37,GBY,5,0,GBY,R,TP,,NA,,,,-RW,UP,,,R,,,NA,1,no video,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,TP,,,,,,-RYW,UP,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,,,,,,+RYW,,TP,,,,,,,,,* = time after first attack,,,,,,,,,,,,
,,,,,,,,,RYW,G,,,,,,,+RW,,,,,,,,,,,** = TP - Tring to pull - towards whichRetreat/ web - web building,,,,,,,,,,,,
,,,,,,,,,RYB,G,TP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,2/5/16,12:25 PM,2,40,GYW,3,0,GYW,G,,L,1,RYB,R,,-GYW,,,,G,100,,210,4,Comers data only from video,,***= 0 - No pulling / 1- slightily pulled / 2 - midway toRetreat / 3 -Reach after midway bt notReachRetreat / 4 -ReachRetreat  ,,,,,,,,,,,,
,,,,,,,,8,GWR,G,TP-G,W / L ,,,,,-GBG,G,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20,GBG,G,,L,,,,,,,,,,,,,,,,every time data in seconds,,,,,,,,,,,,
5,DC,2/8/16,11:20 AM,3,19,GWBl,2,0,GWBl,G,,L,2,RB,R,,-GWBl,,,,R,180,,175,4,,,,,,,,,,,,,,,
,,,,,,,,2,RBl,R,TP-R,AN,,GYG,R,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,2/9/16,12:20 PM,4,32,GWBl,3,0,GWBl,UP,TP-UP,H,3,RYW,R,,-GBR,,WEB,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,87,GW,G,,W ,,GBR,G,web,-GW,,WEB,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,106,GBR,G,,L,,RYB,G,,+GW,,,W,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-GW,,,,,,,,,,,,,,,,,,,,,,,
5,DC,2/11/16,10:35 AM,5,3,GYB,4,0,GYB,G,TP-G,W,1,GWR,G,,-GWBl,,,,G,272,,360,4,,,,,,,,,,,,,,,
,,,,,,,,2,GWBl,G,,H,,,,,-GW,,WEB,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,GW ,R,,W,,,,,-RYW,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,RYW,UP,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,2/15/16,10:15 AM,6,30,RBG,6,0,RBG,UP,,H,5,UNMARKED,G,,-RYB,R,,,R,81,,NA,1,,,,,,,,,,,,,,,
,,,,,,,,2,GWBl,G,TP-G,W / H,,RG,R,,-RBl,UP,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,RYW,R,TP-R,L,,GW ,R,,+RBl,,,H,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,RBl,G,,,,,,,-RBG,UP,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,UNMARKED,G,TP-G,AB,,,,,,,WEB,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,57,RYB,UP,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,2/16/16,10:15 AM,7,220,GWG,1,0,GWG,R,TP-R,W,4,GW,R,,,,,,R,2,,260,4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RB,R,,,,,,,,,,,,,,,,,,,,,,,,,
