frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreatof comers,Activity,Coming and Going back,Retreat of coming and going back ,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
11,SCSR,2/16/16,12:10 PM,1,9,RYB,13,0,RYB,R,,L,6,GWG,R,, -RWG,,WEB,,,,,,0,
,,,,,,,,,GYB,R,,H/AB,,GYG,R,, -GYB,,,,,,,,,
,,,,,,,,,RBR,R,,W,,GG,G,, -GBR,,,,,,,,,
,,,,,,,,,GBR,G,,L,,GW,G,, +GBR,,,,,,,,,
,,,,, ,,,,RR,R,TP-R,W,,GYW,G,, +RWG,,,,,,,,,
,,,,,,,,,RBl,G,,L/AB,,GYR,R,, -GBR,G,,,,,,,,
,,,,,,,,,RWG,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,TP-R,T,,,,,,,,,,,,,,
,,,,,,,,,RW ,G,,T,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,W,,,,,,,,,,,,,,
11,SCSR,2/17/16,3:15 PM,2,472,RWB,1,0,RWB,G,TP-G,L,0,,,, -RWB,,WEB,,,,,,0,
,,,,,,,,,,,,,,,,, +RWB,,,,,,,,,
11,SCSR,2/18/16,11:15 AM,3,30,GY,8,0,GY,R,,H,3,RYG,G,, -RR,,,,,,,,0,
,,,,,,,,,RWY,G,TP-DOWN,L,,GYW,G,, +RR,,,H,,,,,,
,,,,,,,,,RBR,R,,H,,RWBl,G,,,,,,,,,,,
,,,,,,,,,RYB,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,L,,,,,,,,,,,,,,
