frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
19,DC,2/13/16,10:04 AM,1,68,GW,13,0,GW,G,TP-G,AN/W,1,RBl,G,, -RWB,,WEB,,G,,,NA,1,,
,,,,,,,,,RWB,G,,AN,,,,, -GYW,,,,,,,,,,
,,,,,,,,,GWR,R,,W,,,,TP-DOWN, +GYW,,,,,,,,,,
,,,,,,,,,GYW,G,TP-G,L,,,,, -GYG,,,,,,,,,,
,,,,,,,,,GYG,G,,AB,,,,, +GYG,,,,,,,,,,
,,,,,,,,,GWG,R,,AB,,,,, -GY ,,,,,,,,,,
,,,,,,,,,GY,G,,AB,,,,, +GY ,,,,,,,,,,
,,,,,,,,,RR,R,,H,,,,, -RB,G,,,,,,,,,
,,,,,,,,,RB,G,,AB,,,,, -RBY,,,,,,,,,,
,,,,,,,,,GWY,G,,H,,,,, +RB,,,,,,,,,,
,,,,,,,,,RBY,G,,AB,,,,TP-G, -GYB,G,,,,,,,,,
,,,,,,,,,RYG,R,,W/AB,,,,, +GYB,,,,,,,,,,
,,,,,,,,,GYB,R,,AB,,,,, -GWG,,WEB,,,,,,,,
19,DC,2/15/16,4:10 PM,2,35,GBR,2,0,GBR,G,TP-G,W,1,GBY,G,,,,,,G,60,340,280,4,,
,,,,,,,,,GWG,G,,W,,,,,,,,,,,,,,,
19,DC,2/16/16,4:25 PM,3,9,GG,7,0,GG,G,,,9,RWR,R,, -GG,,,,,,,,0,,
,,,,,,,,,GWR,G,TP-G,L,,GW,R,, -RWY,,,,,,,,,,
,,,,,,,,,GYBl,G,TP-UP,H,,GBG,G,, -GW,,WEB,,,,,,,,
,,,,,,,,,RYW,R,,W,,GYW,G,, +RWY,,,,, ,,,,,
,,,,,,,,,RR,R,,AB,,RW,G,, +GWR,,,,,,,,,,
,,,,,,,,,RWY,R,,AB,,GWG,G,,,,,,,,,,,,
,,,,,,,,,GB,G,,L,,GYG,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GYB,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RYG,R,,,,,,,,,,,,
19,DC,2/17/16,9:50 AM,4,70,GYW,9,0,GYW,G,,W/AB,1,RW,G,, -GBW,G,,,G,,,NA,1,,
,,,,,,,,,GWBl,G,,T,,,,, +GBW,,,,,,,,,,
,,,,,,,,,RYG,G,,H/T,,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,H,,,,,,,,,,,,,,,
