frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
24,DC,5/11/16,12:11 PM,1,13,GBl,4,0,GBl,R,,AN/H,2,RYW,,,,,,,,,,,0,,
,,,,,,,,3,GYBl,R,,AN/T,,RB,R,,,,,,,,,,,,
,,,,,,,,59,RR,G,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,552,RYB,G,,AB,,,,,,,,,,,,,,,
24,DC,5/11/16,3:00 PM,2,5,RYBl,7,0,RYBl,G,,H,2,GW,G,, -RYW,R,,,,,,,0,,
,,,,,,,,1,GBl,G,,AB,,RYB,G,, -GWG,,,,,,,,,,
,,,,,,,,1,GWG,R,,T,,,,, +GYBl,,,AB,,,,,,,
,,,,,,,,23,GYR,G,,H/L,,,,,,,,,,,,,,,
,,,,,,,,24,GYBl,G,,H,,,,,,,,,,,,,,,
,,,,,,,,50,RYW,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,55,RYG,R,,L,,,,,,,,,,,,,,,
24,DC,5/12/16,11:14 AM,3,10,RWR,8,0,RWR,G,TP-G,L/AB,0,,,, -RR,,,,,,,,0,,
,,,,,,,,2,RR,G,,W,,,,, -RYB,,WEB,,,,,,,,
,,,,,,,,3,GG,G,,L/AB,,,,, -GG,,,,,,,,,,
,,,,,,,,14,RYB,R,,W,,,,, +GG,,,AB,,,,,,,
,,,,,,,,19,RW,G,,T,,,,, +RR,,,AB,,,,,,,
,,,,,,,,21,GR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,AN/H,,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,AB,,,,,,,,,,,,,,,
24,DC,5/12/16,12:24 PM,4,5,GG,7,0,GG,G,,T,1,RB,R,, -GYB,,,,,,,,0,,
,,,,,,,,4,RYB,R,,L/AB,,,,, +GYB,T,,T,,,,,,,
,,,,,,,,6,GYB,G,,T,,,,,,,,,,,,,,,
,,,,,,,,9,GBR,G,,H,,,,,,,,,,,,,,,
,,,,,,,,17,GW,R,TP-R,L/AB,,,,,,,,,,,,,,,
,,,,,,,,209,RWR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,255,RY,R,,T,,,,,,,,,,,,,,,
24,DC,5/12/16,2:08 PM,5,20,GBl,3,0,GBl,R,,L,8,GYB,G,, -GW,,WEB,, -,,,,0,,
,,,,,,,,7,RWR,G,,L/AB,,GYR,R,, -GBl,,,,,,,,,,
,,,,,,,,20,GW,R,,L,,GWR,R,, +GW,,,L,,,,,,,
,,,,,,,,,,,,,,RR,G,, -RWR,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RYG,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GWG,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GG,G,,,,,,,,,,,,
24,DC,5/12/16,2:45 PM,6,2,GWG,4,0,GWG,G,,L,2,RWB,G,, -GWG,,,,R,113,,NA,4,,
,,,,,,,,0,RW,G,,AB,,RW,G,, -RW,,,,,,,,,,
,,,,,,,,1,RY,G,,L,,,,, -RY,,,H,,End time of pulling NA,,,,,
,,,,,,,,1,RR,R,TP-R,W,,,,,,,,,,,,,,,
24,DC,5/13/16,12:17 PM,7,5,GW,5,0,GW,R,,T,1,RYG,R,, -RR,R,,, -,,,,0,,
,,,,,,,,3,RW,G,TP-G,T/AB,,,,, -RWB,,,,,,,,,,
,,,,,,,,5,GYG,R,TP-R,L/AB,,,,, +RWB,,,H,,,,,,,
,,,,,,,,18,RR,R,,,,,,,,,,,,,,,,,
,,,,,,,,20,RWB,G,TP-R,W/AN/AB,,,,,,,,,,,,,,,
24,DC,5/13/16,2:10PM,8,4,RYBl,5,0,RYBl,G,,L,8,RW,G,,,,,,,,,,0,,
,,,,,,,,2,RYW,R,,L,,RYR,G,,,,,,,,,,,,
,,,,,,,,2,RYG,G,,L/T,,RG,G,,,,,,,,,,,,
,,,,,,,,5,GY,R,TP-R,W/AB,,GWG,G,,,,,,,,,,,,
,,,,,,,,14,RWR,G,,L,,GYBl,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GYB,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GG,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,R,WEB,,,,,,,,,,,
24,DC,5/13/16,3:20 PM,9,4,RY,9,0,RY,R,,L,4,RYR,R,, -RB,G,,, -,,,,0,,
,,,,,,,,6,RYG,G,,L,,RYB,R,, -RW,,,,,,,,,,
,,,,,,,,11,RW,G,,H,,GB,G,, -RYG,,,,,,,,,,
,,,,,,,,16,RYW,G,,T/AB,,RWG,G,, -RW,,,,,,,,,,
,,,,,,,,19,GR,R,,AN,,,,, -RY,,,,,,,,,,
,,,,,,,,22,GYG,G,,AN,,,,, +RW,,,AB,,,,,,,
,,,,,,,,34,RB,G,,,,,,, +RY,,,AB,,,,,,,
,,,,,,,,34,RWB,R,,T,,,,,,,,,,,,,,,
,,,,,,,,38,RWR,R,,T,,,,,,,,,,,,,,,
24,DC,5/13/16,4:20 PM,10,38,GG,8,0,GG,G,,W,2,RR,R,, -RW,,,,R,97,,NA,2,,
,,,,,,,,1,RY,R,TP-R,AB/T,,,,, -RG,,,,,,,,,,
,,,,,,,,1,RW,R,,W,,,,, -GG,,,,,,,,,,
,,,,,,,,6,RG,G,,L,,,,, +RG,,,AB,,End time of pulling NA,,,,,
,,,,,,,,82,GW,,,L/H,,,,,,,,,,,,,,,
,,,,,,,,122,GR,G,,L/H,,,,,,,,,,,,,,,
,,,,,,,,142,RWR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,167,RWB,R,TP-R,H/T,,,,,,,,,,,,,,,
24,DC,5/14/16,12:10 PM,11,52,RYG,3,0,RYG,R,TP-R/WEB,W/L,4,RYR,R,, -RYG,,,,R,261, -,NA,2,,
,,,,,,,,54,RWR,R,TP-R,L/H,,GYB,R,, +RYG,,,AB,,,,,,,
,,,,,,,,189,GYR,G,,AB/W/T,,RYB,R,,,,,,,End time of pulling NA,,,,,
,,,,,,,,,,,,,,RBY,G,,,,, ,,,,,,,
24,DC,5/14/16,1:44 PM,12,9,GYR,6,0,GYR,G,TP-G,W/AB/T,7,RW,R,, -,,,, -,,,,0,,
,,,,,,,,11,RWR,R,TP-R,L/H,,RYW,R,,,,,,,,,,,,
,,,,,,,,25,GYB,R,,AN,,RY,R,,,,,,,,,,,,
,,,,,,,,113,RR,R,,H,,RYB,R,,,,,,,,,,,,
,,,,,,,,142,RBY,R,,W,,GW,G,,,,,,,,,,,,
,,,,,,,,268,RYG,R,,L/AB,,GWR,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GWBl,G,,,,,,,,,,,,
24,DC,5/14/16,2:21 PM,13,2,GW,7,0,GW,R,,L/AB/H/AB,3,RBR,R,, -GYR,R,,, -, -, -, -,0,,
,,,,,,,,5,GYR,G,,STING,,RWR,R,, -GBG,,,,,,,,,,
,,,,,,,,12,RW,G,,T/AB,,GR,R,, +GBG,,,T,,,,,,,
,,,,,,,,15,GBG,R,,H,,,,, -RW,,,,,,,,,,
,,,,,,,,78,RYW,R,,W/T/AB,,,,, +RW,,,AB,,,,,,,
,,,,,,,,421,RYG,R,,H,,,,,,,,,,,,,,,
,,,,,,,,469,GYG,,,L,,,,,,,,,,,,,,,
24,DC,5/14/16,3:08 PM,14,11,RB,4,0,RB,R,,W/T,6,RG,G,, -RYBl,,,,R,95,284,189,4,,
,,,,,,,,3,GYG,R,,AN,,RYG,G,, -GYG,,,,,,,,,,
,,,,,,,,21,GYB,G,,W,,GYBl,G,, +GYG,,TP-TOP,,,,,,,,
,,,,,,,,26,RYBl,G,,L,,RYR,R,, +RYBl,,TP-R,,,, ,,,,
,,,,,,,,,,,,,,RW,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RYW,R,,,,,,,,,,,,
24,DC,5/15/16,3:56 PM,15,1,GYG,5,0,GYG,UP,TP-R,H/T,6,RY,R,, -RYW,,,,R,423, -,NA,3,,
,,,,,,,,4,GBG,R,,H,,RYG,R,, -GBG,G,,,,,,,,,
,,,,,,,,9,RG,G,,L/AB,,RW,R,,,,,,,,,,,,
,,,,,,,,16,GW,R,TP-R,L/T,,GR,R,,,,,,, ,,,,,
,,,,,,,,46,RYW,R,,AB,,RYR,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GG,G,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
