frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
18,SCDR,2/9/16,10:53,1,7,GYR,5,0,GYR,G,,H/AN,,,,, -RB,,,,R,,,,1,
,,,,,,,,,RWG,R,TP-R,H,,,,, -GYR,,,,,,,,,
,,,,,,,,,RB,R,,AB,,,,, +GYR,,,,,,,,,
,,,,,,,,,RBY,R,TP-R,T,,,,, +RB,,,,,,,,,
,,,,,,,,,RR,R,TP-R,W,,,,, -RB,,,,,,,,,
,,2/10/16,9:52AM,2,35,RB,7,0,RB,R,,H,,,,, -RB,R,,,,,,,0,
,,,,,,,,,RG,R,,,,,,, -RWY,R,,,,,,,,
,,,,,,,,,RWY,R,,L,,,,, +RB,,,,,,,,,
,,,,,,,,,RY,G,,L,,,,, -GB,,,,,,,,,
,,,,,,,,,GB,R,TP,,,,,, -RY,G,,,,,,,,
,,,,,,,,,RBR,R,TP,AB,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,TP,W,,,,,,,,,,,,,,
,,2/11/16,2:25PM,3,5,RBY,5,0,RBY,R,TP-R,H,,,,, -GWY,R,,,,,,,1,
,,,,,,,,,RYBl,R,,W,,,,,,,,,,,,,,
,,,,,,,,,RY,R,TP-UP,L,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,TP-R,W,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,TP-R,H,,,,,,,,,,,,,,
,,2/13/16,11:45AM,4,17,RR,4,0,RR,R,TP-R,H,5,GB,G,, -RWG,R,,,R,,,,0,
,,,,,,,,,RWY,G,TP-R,L,,RYB,G,,,,,,,,,,,
,,,,,,,,,GYG,R,TP-R,W,,GYB,G,,,,,,,,,,,
,,,,,,,,,RWG,G,,L,,GWBl,R,,,,,,,,,,,
,,,,,,,,,,,,,,RBY,R,,,,,,,,,,,
,,2/15/16,3:25PM,5,10,RY,9,0,RY,G,,L,4,GWG,R,, -RBY,,,,NO PULL,,,,0,
,,,,,,,,,RBY,G,,T,,RWB,R,, +RBY,,,L,,,,,,
,,,,,,,,,RWBl,R,,H,,RBR,R,, -RYBl,R,,,,,,,,
,,,,,,,,,RYG,G,TP-G,W,,GY ,G,, -RG,G,,,,,,,,
,,,,,,,,,RG,G,,W,,,,, -RY,R,,,,,,,,
,,,,,,,,,RYW,R,,H,,,,, +RG,,,AB,,,,,,
,,,,,,,,,RYBl,G,,AB,,,,, -GYW,R,,,,,,,,
,,,,,,,,,GYW,R,,T,,,,, +RYBl,,,AB,,,,,,
,,,,,,,,,GYBl,R,,T,,,,, -RWBl,R,,,,,,,,
,,,,,,,,,,,,,,,,, +GYW,,,AB,,,,,,
,,2/16/16,4:20PM,6,7,RYBl,6,0,RYBl,R,TP-R,AB,5,RY,R,, -GBY,,WEB,,R,,,,4,
,,,,,,,,,RBR,R,,AB,,RBl,R,, -GYR,,,,,,,,,
,,,,,,,,,GYR,R,,AB,,GG,R,, +GYR,,,,,,,,,
,,,,,,,,,RB,R,,L,,RYB,G,WEB,,,,,,,,,,
,,,,,,,,,GBY,G,,W,,RWY,G,,,,,,,,,,,
,,,,,,,,,GWBl,R,,L,,GY,G,,,,,,,,,,,
,,,,,,,,,,,,,,RR,R,WEB,,,,,,,,,,
,,,,,,,,,,,,,,RWBl,G,WEB,,,,,,,,,,
,,2/17/16,10:05AM,7,7,GYB,9,0,GYB,R,,L,3,RW,R,, -RBl,,,,,,,,0,
,,,,,,,,,GB,R,TP-G,W,,GW,R,, -GYR,,,,,,,,,
,,,,,,,,,RWY,R,,W,,RYG,R,, +GYR,,,AB,,,,,,
,,,,,,,,,RBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RR,R,TP-R,H,,,,,,,,,,,,,,
,,,,,,,,,RG,R,TP-R,L/T,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,TP-R,T,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,,,,,,,,,,,,,,,
,,,,,,,,,GY,R,,H,,,,,,,,,,,,,,
,,2/19/16,4:30PM,8,29,RYW,9,0,RYW,G,,W,4,RYW,G,, -GYBl,,,,R,,,,0,
,,,,,,,,,RG,R,WEB,L,,GW,R,, -GB,,,,,,,,,
,,,,,,,,,GWBl,R,TP-R,H/L,,GYBl,R,WEB, -RG,,WEB,,,,,,,
,,,,,,,,,GYBl,R,TP-R,T,,RR,R,, +RG,,,,,,,,,
,,,,,,,,,GB,G,,L,,,,, +GYBl,,,,,,,,,
,,,,,,,,,GR,G,,L,,,,, -RYW,,,,,,,,,
,,,,,,,,,RWB,R,,L,,,,, +RYW,,,,,,,,,
,,,,,,,,,RR,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,T,,,,,,,,,,,,,,
,,2/20/16,11:48AM,9,12,RGR,10,0,RGR,R,,L,5,RWB,R,, -GBl,,,,R,,,,0,
,,,,,,,,,RR,R,,H,,GYG,R,, +GBl,,,,,,,,,
,,,,,,,,,GBG,R,,H,,RYW,g,,,,,,,,,,,
,,,,,,,,,RWY,G,,L,,RW,G,,,,,,,,,,,
,,,,,,,,,GR,G,,W,,GG,G,,,,,,,,,,,
,,,,,,,,,RBl,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,AB,,,,,,,,,,,,,,
,,2/22/16,3:31AM,10,2,RB,7,0,RB,R,TP-R,W,6,GYBl,R,, -GYG,,WEB,,R,,,,0,
,,,,,,,,,GB,R,,W,,RYBl,R,, +GYG,,,AB,,,,,,
,,,,,,,,,GYG,R,,L,,GBR,R,, -GB,,,,,,,,,
,,,,,,,,,GYW,G,,L,,RBR,R,, +GB,,,AB,,,,,,
,,,,,,,,,GBG,G,,AN,,RY,G,, -GYG,,,,,,,,,
,,,,,,,,,GWBl,R,TP-R,AB,,GR,R,, +GYG,,,AB,,,,,,
,,,,,,,,,GBR,R,,T,,,,,,,,,,,,,,
,,2/23/16,11:55 am,11,2,RG,5,0,RG,G,,L,3,RYBl,R,,,,,,G,172,,,1,
,,,,,,,,,RR,R,,L,,GWG,G,,,,,,,,,,,
,,,,,,,,,GYBl,G,,T,,RB,G,,,,,,,,,,,
,,,,,,,,,GBY,G,TP-G,T,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,L,,,,,,,,,,,,,,
,,2/26/16,3:06 pm,12,19,RW,9,0,RW,G,,W/T,4,RYG,R,, - RR,,,,R,,,,3,
,,,,,,,,,RY,R,,AB,,GBY,R,, + RR,,,T,,,,,,
,,,,,,,,,RYBl,R,,AB,,RB,R,, - RY,,,,,,,,,
