frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
30,DC,5/11/16,12:56 pm,1,7,RBl,11,0,RBl,R,,T,2,RW,R,, -RY,,,,,,,,0,
,,,,,,,,,RWY,R,,T,,RYG,R,, -RWR,,,,,,,,,
,,,,,,,,,GBY,R,,AB,,,,, +RWR,,,H,,,,,,
,,,,,,,,,RWG,G,,H,,,,, -RBl,R,,,,,,,,
,,,,,,,,,GY,G,,,,,,, -GY,,,,,,,,,
,,,,,,,,,RY,G,,AB,,,,, -RWG,,,,,,,,,
,,,,,,,,,RWB,R,TP-R,H,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,,AN,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,AN/AB,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,,,,,,,,,,,,,,,,
,,5/11/16,3:42 pm,2,5,GBY,3,0,GBY,R,,W,2,GBW,G,, -RWG,,,,G,265,385,120,4,
,,,,,,,,,RWG,R,TP-DOWN,T,,GG,R,, +RWG,,,W,,,,,,
,,,,,,,,,RYBl,G,TP-G,AB,,,,, -RWG,,,,,,,,,
,,,,,,,,,,,,,,,,, -GBY,,,,,,,,,
,,5/12/16,11:58 am,3,83,RBW,3,0,RBW,R,TP-R,AN,0,,,,,,,,R,129,512,383,4,
,,,,,,,,11,RYBl,G,,W/T,,,,,,,,,,,,,,
,,,,,,,,28,GYB,G,TP-G,L/AB,,,,,,,,,,,,,,
,,5/12/16,12:52 pm,4,56,RYBl,7,0,RYBl,G,,L/W/AB,2,GYBl,G,, -RBl,,,,R,175,285,110,4,
,,,,,,,,,RBl,R,,L,,GG,G,, -RBR,,,,,,,,,
,,,,,,,,,GWBl,G,,W/L,,,,, -GWBl,,,,,,,,,
,,,,,,,,,RWR,R,TP-R,L,,,,, +RBR,,,T,,,,,,
,,,,,,,,,RBR,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,TP-R,W/AB,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,W,,,,,,,,,,,,,,
,,5/12/16,2:36 pm,5,41,GWBl,2,0,GWBl,G,,L,6,GYW,G,, -GWBl,G,,,,,,,0,
,,,,,,,,9,RYBl,R,,L,,GBW,G,,,,,,,,,,,
,,,,,,,,,,,,,,RBR,R,,,,,,,,,,,
,,,,,,,,,,,,,,RWG,R,,,,,,,,,,,
,,,,,,,,,,,,,,RWB,G,,,,,,,,,,,
,,,,,,,,,,,,,,RWY,R,,,,,,,,,,,
,,5/12/16,3:15 pm,6,9,GYB,3,0,GYB,R,TP-R,L/T,6,GBW,G,,,,,,,,,,0,
,,,,,,,,6,RBY,R,,T/AB,,GWR,G,,,,,,,,,,,
,,,,,,,,7,GYG,G,TP-G,L/AN,,GWBl,G,,,,,,,,,,,
,,,,,,,,,,,,,,RY,R,,,,,,,,,,,
,,,,,,,,,,,,,,RYBl,,,,,,,,,,,,
,,,,,,,,,,,,,,GBY,R,,,,,,,,,,,
,,5/13/16,12:53 pm,7,18,RBW,4,0,RBW,G,,AN,5,GWY,R,,,,,,,,,,0,
,,,,,,,,,GYBl,G,TP-G,L/W/T,,GB,R,,,,,,,,,,,
,,,,,,,,,GYR,G,,W,,RYBl,R,,,,,,,,,,,
,,,,,,,,,RWBl,R,TP-R,L/AB,,GBl,G,,,,,,,,,,,
,,,,,,,,,,,,,,RY,G,,,,,,,,,,,
,,5/13/16,3:00 pm,8,10,GYB,9,0,GYB,R,,L,4,GBY,G,, -GYB,,,,,,,,0,
,,,,,,,,4,RYG,R,,AB,,GG,R,, -GWY,,,,,,,,,
,,,,,,,,9,RBR,R,TP-R,L/W,,GW,R,, -RBY,,,,,,,,,
,,,,,,,,13,GWY,R,,L,,GB,R,, -RW,,,,,,,,,
,,,,,,,,19,RBY,G,,H,,,,, -GYBl,,,,,,,,,
,,,,,,,,,GYBl,G,,T,,,,, -RYG,,,,,,,,,
,,,,,,,,,RWR,R,TP-R,T/W,,,,, +GWY,,,H,,,,,,
,,,,,,,,,RW,R,,W,,,,, -RBl,,,,,,,,,
,,,,,,,,,RBl,R,,L,,,,,,,,,,,,,,
,,5/13/16,4:09 pm,9,10,GWY,5,0,GWY,G,,L,6,GR,R,, -GBG,,,,R,197,,,2,
,,,,,,,,,GBG,R,,,,RWR,R,WEB, +GBG,,,H,,,,,,
,,,,,,,,,GYG,G,,L,,RBl,G,, -RY,,,,,,,,,
