frame ID,TEARTMENT,Date,Time,Trail No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,toal time for pulling,intensity of pulling ***,Remarks
12,SCDR,2/4/16,6:20 pm,1,75,GG,3,0,GG,R,TP-R/G,LEG,,,,, - RYR,,WEB,,G,,,,,
,,,,,,,,,GBG,R,TP-R,ANTENNA,,,,, - GBG,,WEB,,,,,,,
,,,,,,,,,RYR,R,,ABDOMEN,,,,,,,,,,,,,,
,,2/5/16,2:45 pm,2,21,GR,6,,GR,R,,WING,,,,, - GR,,,,R,69,,,,
,,,,,,,,,GY,R,,WING,,,,,,,,,,,,,,
,,,,,,,,,GBG,R,,HEAD,,,,,,,,,,,,,,
,,,,,,,,,RGY,R,TP-R,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,ANTENNA ,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,LEG,,,,,,,,,,,,,,
,,2/8/16,3:00 pm,3,232,RGY,3,,RGY,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,RGBl,R,,ANTENNA,,,,,,,,,,,,,,
,,,,,,,,,RY ,R,,,,,,,,,,,,,,,,
,,2/9/16,3:18 pm,4,38,RGR,1,0,RGR,R,TP-R,LEG/WING/THORAX,,,,, - RGR,,WEB,,R,,,,,
,,,,,,,,,,,,,,,,, + RGR,,,,,,,,,
,,2/10/16,2:06 pm,5,7,GBY,4,,GBY,R,TP-Down,WING,,,,, - GYR,,,,R,,,,,
,,,,,,,,,GYR,R,,LEG,,,,, - RG,R,,,,,,,,
,,,,,,,,,RBY,R,TP-R,THORAX,,,,, + RG ,,,ABDOMEN,,,,,,
,,,,,,,,,RG,R,,ABDOMEN,,,,, + GYR,,,ABDOMEN,,,,,,
,,,,,,,,,,,,,,,,, - RG,R,,,,,,,,
,,,,,,,,,,,,,,,,, - GYR,UP,,,,,,,,
,,2/11/16,11:25 am,6,50,RYR,2,,RYR,R,TP-R,WING/HEAD,,,,, - RYB,R,,,G,,240,,,
,,,,,,,,,RBY,G,TP-G,LEG,,,,,,,,,,,,,,
,,2/13/16,4:54 pm,7,19,RYR,5,,RYR,R,TP-DOWN,ABDOMEN,,,,, - RGR,G,,,R,,,,3,
,,,,,,,,,GY,R,TP-R,LEG,,,,, - UNMARKED,,,,,,,,,
,,,,,,,,,RGR,R,,LEG,,,,, - RBR ,R,WEB,,,,,,,
,,,,,,,,,UNMARKED,R,,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,WING,,,,,,,,,,,,,,
,,2/15/16,12:30 pm,8,29,UNMARKED,5,,UNMARKED,R,,LEG,,,,, - RGY,,WEB,,R,91,243,152,4,
,,,,,,,,,RGR,R,TP-R,HEAD,,,,, - GG,R,,,,,,,,
,,,,,,,,,GBG,R,,LEG/THORAX,,,,,,,,,,,,,,
,,,,,,,,,RGY,G,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,LEG,,,,,,,,,,,,,,
,,2/16/16,12:50 pm,9,162,GRW,2,,GRW,R,TP-G,ANTENNA,,,,,,,,,R,,420,,4,
,,,,,,,,,RGY,G,,LEG,,,,,,,,,,,,,,
,,2/17/16,3:45 pm,10,62,RG,3,,RG,R,TP-R,WING,,,,,,,,,R,,,,4,
,,,,,,,,,RYR,R,TP-R,HEAD,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,LEG,,,,,,,,,,,,,,
,,2/18/16,11:40 pm,11,50,RGY,2,,RGY,R,TP-R,LEG,,,,,,,,,R,,,,,
,,,,,,,,,GY,R,,LEG ,,,,,,,,,,,,,,
,,,,,,,,,RGR,R,,HEAD,,,,,,,,,,,,,,
,,2/19/16,2:00 pm,12,24,GBY,4,,GBY,R,TP-R,LEG,,,,, - RG,,WEB,,,,481,,4,
,,,,,,,,,GY,R,TP-R,THORAX,,,,,,,,,,,,,,
,,,,,,,,,RGBl,R,TP-R,WING,,,,,,,,,,,,,,
,,,,,,,,,RG,G,,LEG,,,,,,,,,,,,,,
,,2/20/16,3:45 pm,13,5,RGR,4,,RGR,R,TP-R,HEAD,,,,, - RGR,,,,R,,169,,4,
,,,,,,,,,RG,R,TP-R,HEAD,,,,, - RYR,R,,,,,,,,
,,,,,,,,,RYR,R,,LEG,,,,, - GYR,,,,,,,,,
,,,,,,,,,GYR,R,,WING,,,,,,,,,,,,,,
,,2/22/16,12:51 pm,14,54,RYR,3,0,RYR,R,,LEG,,,,,,,,,R,,,,,
,,,,,,,,147,RGW,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,336,GYG,R,,WING,,,,,,,,,,,,,,
,,2/25/16,2:27 pm,15,9,UNMARKED,,,UNMARKED,R,,LEG,,,,, - RGY,,,,R,,,,,
,,,,,,,,,RGY,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,,THORAX,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,,WING,,,,,,,,,,,,,,
,,,,,,,,,RGW,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GRW,R,,HEAD,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,LEG,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,ABDOMEN,,,,,,,,,,,,,,
