frame ID,TEARTMENT,Date,Time,Trail No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,toal time for pulling,intensity of pulling ***,Remarks
9,SCSR,2/1/16,4:40 pm,1,27,RBW,5,,RBW,R,,LEG/HEAD,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,HEAD,,,,,,,,,,,,,,
,,,,,,,,,RW,R,,THORAX,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,WING/ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,GBW,G,,WING ,,,,,,,,,,,,,,
,,2/4/16,5:40PM,2,7,GBG,5,,GBG,R,,ABDOMEN,,,,, - GBG,,,,G,,,,1,
,,,,,,,,,RYW,G,TP-G,LEG ,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,WING,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,,ANTENNA/HEAD,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,ANTENNA ,,,,,,,,,,,,,,
,,2/5/16,1:55 pm,3,168,RBl,6,,RBl,G,,LEG,,,,, - RYB,,,,,,,,,
,,,,,,,,,GBG,G,,LEG,,,,, - RYG,,,,,,,,,
,,,,,,,,,GBR,G,TP-DOWN,HEAD,,,,, -GBG,,,,,,,,,
,,,,,,,,,RB,G,TP-G,LEG,,,,,,,,,,,,,,
,,,,,,,,,GG,R,TP-R,WING,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,LEG,,,,,,,,,,,,,,
,,2/8/16,12:45 pm,4,80,RBW,3,,RBW,R,TP-R,ANTENNA/HEAD,,,,,,,,,,,,,,
,,,,,,,,,RYG,G,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,LEG,,,,,,,,,,,,,,
,,2/9/16,1:21 pm,5,4,GBG,2,,GBG,UP,,LEG,,,,, -GBG,UP,,,R,,,,3,
,,,,,,,,,RBW,G,TP-R,ANTENNA/ HEAD,,,,,,,,,,,,,,
,,2/10/16,11:47 pm,6,13,RBW,9,,RBW,R,sting - leg,ANTENNA,,,,, - RBW,,,, -,,,,,
,,,,,,,,,GY ,G,,HEAD,,,,, -GG,,,,,,,,,
,,,,,,,,,GG,G,,LEG,,,,, + GG,,,,,,,,,
,,,,,,,,,RYR,G,,THORAX,,,,,,,,,,,,,,
,,,,,,,,,RBR,G,,LEG,,,,,,,,,,,,,,
,,,,,,,,,RYW,G,,WING,,,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,ABDOMEN,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,LEG,,,,,,,,,,,,,,
,,,,,,,,,GBR,G,,THORAX,,,,,,,,,,,,,,
,,2/15/16,11:45 am,7,35,RYB,2,,RYB,UP,TP-UP/WEB,LEG/HEAD,,,,,,,,,UP,,,,4,
,,,,,,,,,RB,G,,ABDOMEN/WING,,,,,,,,,,,,,,
,,2/16/16,11:10 am,8,34,RBl,5,,RBl,G,,LEG,,,,, - GYG,,,,R,,,,2,
,,,,,,,,,GYG,R,TP-R,LEG,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,WING/ANTENNA,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,LEG/WING,,,,,,,,,,,,,,
,,,,,,,,,RBR,G,,WING,,,,,,,,,,,,,,
