frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,,,,,,
10,SCSR,3/22/16,2:25 PM,1,65,RBl,1,0,RBl,R,,W,5,RYBl,R,, -RBl,,,,R,,,NA,1,,,,,,,
,,,,,,,,,,,,,,RG,G,, +RBl,,,L,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RBG,R,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GYBl,G,,,,,,,,,,,,,,,,,
10,SCSR,3/23/16,11:12 AM,2,6,RWBl,3,0,RWBl,R,,L/AB,3,RWB,G,,,,,,,,,,0,,,,,,,
,,,,,,,,,RW,G,,AN/H,,GBY,G,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SCSR,3/24/16,11:48 AM,3,3,RWBl,3,0,RWBl,G,TP-G,L/H,5,,,, -RG,,,,,,,,0,,,,,,,
,,,,,,,,,RYBl,G,,L/AB,,GW,G,,,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,W/AB,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RBG,R,,,,,,,,,,,,,,,,,
10,SCSR,3/25/16,2:00 PM,4,25,,,,,,,,3,GW,R,, ,,,,,,,,0,,,,,,,
,,,,,,,,,GWBl,R,,L,,GWR,G,,,,,,,,,,,,,,,,,
,,,,,,,,,RBR,G,,AB,,GY,G,,,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,H,,,,,,,,,,,,,,,,,,,,
10,SCSR,3/26/16,11:00 AM,5,35,GW,5,0,GW,R,,L,4,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,RBl,G,,AN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,L,,RWR,G,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RBG,R,,,,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,L,,,,,,,,,,,,,,,,,,,,
10,SCSR,3/28/16,11:20 AM,6,5,RWB,7,0,RWB,G,,L,5,GBW,G,, -RBl,R,,,,,,,0,,,,,,,
,,,,,,,,,RBl,UP,,L,,GYG,R,, -RWB,R,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RWG,R,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GWBl,G,,,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,AB,,GB,R,,,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,H,,,,,,,,,,,,,,,,,,,,
10,SCSR,3/31/16,4:30 PM,7,189,RG,2,0,RG,R,WEB,L/AB,2,,,, -RG,,WEB,,,,,,0,,,,,,,
,,,,,,,,346,RBR,R,,L/T,,GYBl,R,, +RG,,,T,,,,,,,,,,,,
10,SCSR,4/1/16,11:00 AM,8,10,GWBl,5,0,GWBl,R,WEB,W/H,2,RBR,G,,,,,,,,,,0,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,GYBl,G,,W,,,,,,,,,,,,,,,,,,,,
,,,,,,,,148,RW,R,,T,,,,,,,,,,,,,,,,,,,,
,,,,,,,,230,GBR,G,,T,,,,,,,,,,,,,,,,,,,,
10,SCSR,4/1/16,3:10 PM,9,10,GWBl,5,0,GWBl,R,WEB,L,0,,,,,,,,,,,,0,,,,,,,
,,,,,,,,4,RBR,G,,W,,,,,,,,,,,,,,,,,,,,
,,,,,,,,75,RBW,R,,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,90,GYBl,R,,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,115,GBR,G,,L,,,,,,,,,,,,,,,,,,,,
10,SCSR,4/4/16,11:56 AM,10,5,RBW,3,0,RBW,R,TP-R,W/AB,3,RBR,G,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,RWB,R,,,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,H,,GWR,R,,,,,,,,,,,,,,,,,
10,SCSR,4/5/16,3:56 PM,11,8,GWBl,3,0,GWBl,G,,L,2,RBR,R,,,,,,,,,,0,,,,,,,
,,,,,,,,12,GYBl,R,,L,,RBW,R,,,,,,,,,,,,,,,,,
,,,,,,,,21,GWR,R,,W,,,,,,,,,,,,,,,,,,,,
10,SCSR,4/7/16,12:12 PM,12,10,RBW,4,0,RBW,G,TP-G,W/T,1,RG,R,,,,,,,,,,0,,,,,,,
,,,,,,,,18,,,,,,,,,,,,L,,,,,,,,,,,,
,,,,,,,,20,RW,R,TP-R,L/AB,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26,GWBl,G,,L/T,,,,,,,,,,,,,,,,,,,,
10,SCSR,4/13/16,,13,74,RBW,2,0,RBW,R,TP-R/WEB,L/W,0,,,,,,,,R,,,NA,3,,,,,,,
,,,,,,,,60,GWBl,R,TP-R,L,,,,,,,,,,,,,,,,,,,,
10,SCSR,4/14/16,2:20 PM,14,16,RW,2,0,RW,R,,W,0,,,, -RW,,,,,,,,0,,,,,,,
,,,,,,,,8,RG,R,WEB,L,,,,, -RG,,WEB,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RG,,,L/AB,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RW,,,W,,,,,,,,,,,,
10,SCSR,4/16/16,12:12 PM,15,5,RG,1,0,RG,R,WEB,L,2,RBW,R,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,RW,R,,,,,,,,,,,,,,,,,
