frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
28,SCSR,5/11/16,12:25 PM,1,9,RYB,15,0,RYB,R,,L,3,RBW,G,, - RYR,,,, -,,,0,0,,
,,,,,,,,1,RYR,G,,AN,,GWB,G,, - GWR,,,,,,,,,,
,,,,,,,,2,RWY,R,,AB,,GYR,R,, - GR,,,,,,,,,,
,,,,,,,,2,GBW,G,,AB,,,,, + RYR,,,AB,,,,,,,
,,,,,,,,3,GBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWR,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,AN,,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,563,RG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,576,GWY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,591,GBY,G,,AB,,,,,,,,,,,,,,,
28,SCSR,5/11/16,3:20 PM,2,6,RBW,8,0,RBW,R,,L,5,GBW,R,, - GY,,,,G,,,NA,2,,
,,,,,,,,1,RYR,G,,W,,RG,G,, - RBW,,,,,,,,,,
,,,,,,,,2,RWY,R,TP-R,L/H,,RWBl,G,, + RBW,,,H,,,,,,,
,,,,,,,,6,GWG,G,,L,,RBl,G,, - GWG,,,,,,,,,,
,,,,,,,,8,GYW,G,,AN,,RYG,G,, + GWG,,,W,,,,,,,
,,,,,,,,12,GY,G,,AN,,,,, + GY,,TP-G,L,,,,,,,
,,,,,,,,84,RWR,G,,W,,,,, - RBW,,,,,,,,,,
,,,,,,,,444,RY,R,,AB,,,,, - GYW,,,,,,,,,,
28,SCSR,5/12/16,11:30 AM,3,19,GBl,17,0,GBl,R,,AB,1,GYR,G,, - GBG,,,,,,,,0,,
,,,,,,,,6,RBR,G,,T,,,,, + GBG,,,AB,,,,,,,
,,,,,,,,17,GWG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,26,RWR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,29,RWB,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GBG,,,AN,,,,,,,,,,,,,,,
,,,,,,,,,RW,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GY,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GBW,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBY,,,H,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,479,GG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,600,GW,R,,AB,,,,,,,,,,,,,,,
28,SCSR,5/12/16,12:35 PM,4,8,RYG,13,0,RYG,G,,AB,6,RYR,G,,,,,, -,,,,0,,
,,,,,,,,1,RY,G,,AB,,RYW,G,,,,,,,,,,,,
,,,,,,,,3,RB,R,,AB,,RWY,G,,,,,,,,,,,,
,,,,,,,,19,RBl,G,,H,,GBW,R,,,,,,,,,,,,
,,,,,,,,43,RBY,G,,AB,,GR,R,,,,,,,,,,,,
,,,,,,,,69,RG,R,,AB,,RBR,R,,,,,,,,,,,,
,,,,,,,,138,RWG,,,H,,,,,,,,,,,,,,,
,,,,,,,,169,GG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,217,GB,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GW,,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,T,,,,,,,,,,,,,,,
28,SCSR,5/12/16,2:19 PM,5,15,RYW,4,0,RYW,G,,L,3,GYR,R,,,,,, -,,,,0,,
,,,,,,,,6,RBR,R,,L,,RR,R,,,,,,,,,,,,
,,,,,,,,14,GBl,G,,H,,RWR,R,,,,,,,,,,,,
,,,,,,,,18,RB,R,,W,,,,,,,,,,,,,,,
28,SCSR,5/13/16,2:50 PM,6,31,RR,8,0,RR,R,,L,2,GW,R,, - RR,,,, -,,,,0,,
,,,,,,,,2,RY,G,,L,,RYW,G,, - RWG,R,,,,,,,,,
,,,,,,,,5,RBR,R,,L/AB/T,,,,, - GYW,,,,,,,,,,
,,,,,,,,14,GBl,G,,AN/H,,,,, + GYW,,,AB,,,,,,,
,,,,,,,,19,RWG,R,,L,,,,, - RY,,,,,,,,,,
,,,,,,,,23,GYW,G,,AN,,,,, + RY,,,AB,,,,,,,
,,,,,,,,129,GYG,,,T,,,,, + RR,,,L,,,,,,,
,,,,,,,,139,RBY,R,,T,,,,,,,,,,,,,,,
28,SCSR,5/13/16,12:29 PM,7,7,GWBl,11,0,GWBl,G,,W,6,RY,R,,,,,,,,,,0,,
,,,,,,,,6,RBl,G,TP-G,L/AB,,RG,R,,,,,,,,,,,,
,,,,,,,,13,RBY,R,,W/AB,,GG,R,,,,,,,,,,,,
,,,,,,,,113,GBW,R,,AN,,GB,R,,,,,,,,,,,,
,,,,,,,,124,GWR,R,,W,,GW,G,WEB,,,,,,,,,,,
