frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SCDR,2/4/16,3:35PM,1,43,GWG,1,,GWG,G,,L/H,NA,,,,,,,,,,,,0,,
2,SCDR,2/5/16,12:00PM,2,28,RBY,10,,RBY,R,,AB,NA,,,,,,,,,,,,0,,
,,,,,,,,,RY,R,,,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,TP-UP,H,,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,AN,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,,H,,,,,,,,,,,,,,,
2,SCDR,2/8/16,10:39AM,3,421,RY,1,,RY,R,,L,NA,,,,,,,,,,,,0,,
2,SCDR,2/9/16,11:55AM,4,240,RBG,2,,RBG,G,WEB,L,NA,,,, -RBG,,,,,,,,0,,
,,,,,,,,,GWG,G,,L/AN,,,,, +RBG,,,,,,,,,,
2,SCDR,2/11/16,10:20AM,5,14,GYW,2,,GYW,UP,,AN,NA,,,, -GYW,,WEB,,,,,,0,,
,,,,,,,,,RBY,UP,TP-UP,L,,,,,,,,,,,,,,,
2,SCDR,2/15/16,9:40AM,6,420,RWBl,3,0,RWBl,G,,AN,4,RY,UP,, -RBl,,WEB,,,,,,0,,
,,,,,,,,,RBl,R,TP-R,AB,,GB,R,, +RBl,,WEB/TP-R,,,,,,,,
,,,,,,,,,GWY,R,TP-UP,L,,RBG,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GYBl,G,,,,,,,,,,,,
2,SCDR,2/22/16,11:15AM,7,12,RBW,6,0,RBW,R,,W,0,,,, -RBG,,,,R,,,NA,1,,
,,,,,,,,,RWB,R,,W,,,,, -RYG,,,,,,,,,,
,,,,,,,,,RYG,UP,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GY,R,,AN/H,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,TP-R,T,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SCDR,2/25/16,10:35AM,8,197,GB,5,,GB,R,TP-R,W,3,RWG,R,WEB,,,,,,,,,0,,
,,,,,,,,,RBG,G,,L/T,,GB,R,,,,,,,,,,,,
,,,,,,,,,RBW,G,,H,,UNMARKED,R,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,,,,,,,,,,,,,,
2,SCDR,2/26/16,10:25AM,9,5,UNMARKED,4,,UNMARKED,R,TP-UP/WEB,L,1,RBG,R,, -UNMARKED,,,,G,,,NA,1,,
,,,,,,,,,UNMARKED,R,,W,,,,, -UNMARKED,,,,,,,,,,
,,,,,,,,,GBG,R,,H,,,,, +UNMARKED,,,,,,,,,,
,,,,,,,,,GYBl,G,,AB,,,,, +UNMARKED,,,,,,,,,,
2,SCDR,2/27/16,9:45 AM,10,231,GWY,6,,GWY,G,TP-UP/R ,L/T,1,RB,G,, -GBG,,WEB,,R,,,NA,1,,
,,,,,,,,,GBG,G,TP-UP/R ,L ,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GY ,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GB ,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RBG,R,,,,,,,,,,,,
2,SCDR,3/8/16,11:00AM,11,46,GB,5,0,GB,R,,W/L,0,,,, -UNMARKED,,,,,,,,0,,
,,,,,,,,,UNMARKED,G,,L,,,,, -UNMARKED,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,, -GB,,WEB,,,,,,,,
,,,,,,,,,UNMARKED,G,,H,,,,, +UNMARKED ,,,H,,,,,,,
,,,,,,,,,GY,R,,W,,,,, +UNMARKED ,,,L,,,,,,,
,,,,,,,,,,,,,,,,, +GB,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, -GB,,WEB,,,,,,,,
2,SCDR,3/9/16,3:30PM,12,20,GWY,4,,GWY,UP,,L,3,RBG,R,, -GWY,,,,,,,,0,,
,,,,,,,,,UNMARKED,UP,,L,,UNMARKED,R,, -UNMARKED,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,GY,R,, -UNMARKED,,,,,,,,,,
,,,,,,,,,RG,G,,AN,,,,, +GWY,,,T,,,,,,,
2,SCDR,3/12/16,5:55PM,13,220,UNMARKED,3,,UNMARKED,DOWN,,H,1,GWY,UP,, -RYG,,,,,,,,0,,
