FRAME ID,PLACE,COMBINATION,intial spider no.*,Parallal color combination,,,,,,,FRAME ID,TRAILS,VIDEOS,,,,,,,,,,,,
1,Gudvinka 2 connection 1 + connection 2,SCDR,18/18, R-G,,,SCSR,Same colony same retreat,control,,1,15,13,SCDR,,SCDR,1,2,12,14,17,18,,,3
2,Ravalamma koil conncetion 1 + connction 2,SCDR,13/13,,,,SCDR,same colony different retreat,,,2,15,12,SCDR,,DC,5,13,16,19,,,6,7,21
3,Bypass 5 connection 1 + connction 2,SCDR,20/20,,,,DC,different colony,,,3,,,SCDR,,SCSR,8,9,11,15,20,,,23,
4,Bypass 1 connection 1 + connection 2,SCDR,20/20,,,,,,,,4,,,SCDR,,,,,,,,,,,
5,Dravidian uni-1 + Ravalamma koil 1,DC,18/17,,,,,,,,5,15,13,DC,,,,,,,,,,,
6,Bypass 2 + marwada ?,DC,,,,,combination,no.of setups,,,6,,,DC,,,,,,18.3333333333333,,,,,
7,,DC,,,,,SCSR,5,,,7,,,DC,,,,,,,,,,,
8,Gudupalli Ravalamma koil 1,SCSR,20/20,,,,SCDR,4,,,8,15,12,SCSR,,,,,,,,,,,
9,Dravidian uni-2,SCSR,13/13,,,,DC,4,,,9,15,14,SCSR,,,,,,,,,,,
10,kamathanur cross,SCSR,,,,,,,,,10,,,SCSR,,,,,,,,,,,
11,Daseganaru 2,SCSR,20/20,,,,,,,,11,11,8,SCSR,,,,,,,,,,,
12,Daseganaru connction 1 + connction 2,SCDR,20/20,,,,,,,,12,15,12,SCDR,,,,,,,,,,,
13,kamathanur cross 2 + Dasaganaru 5,DC,20/20,,,,,,,,13,15,14,DC,,,,,,,,,,,
14,Gundalapalli connction 2 + connection 1,SCDR,20/20,,,,,,,,14,15,13,SCDR,,,,,,,,,,,
15,poyanoor 1,SCSR,20/20,,,,,,,,15,15,15,SCSR,,,,,,,,,,,
16,kamathanoor cross 1 + daseganaru 1,DC,20/20,,,,*= before starting  feeding trails,,,,16,15,14,DC,,,,,,,,,,,
17,kamathamur cross connection 1 + connection 2,SCDR,20/20,,,,,,,,17,15,12,SCDR,,,,,,,,,,,
18,kamathanoor cross 1 connection 1 + connection 2,SCDR,20/20,,,,,,,,18,13,12,SCDR,,,,,,,,,,,
19,Gundalapalli c2 + Daseganaru 3,DC,20/20,,,,,,,,19,11,9,DC,,,,,,,,,,,
20,Daseganru 4,SCSR,20/20,,,,,,,,20,11,9,SCSR,,,,,,,,,,,
21,Marwada 5 + Bypass 7,DC,,,,,,,,,21,,,DC,,,,,,,,,,,
22,Bypass connection 1 + c2,SCDR,,,,,,,,,22,,,SCDR,,,,,,,,,,,
23,Kathamanapalli ,SCSR,,,,,,,,,23,,,SCSR,,,,,,,,,,,
