,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,29,14.0
1,1.0,26,14.0
2,1.0,35,10.0
3,1.0,2,10.0
4,1.0,30,14.0
5,1.0,23,10.0
6,1.0,32,10.0
7,1.0,29,10.0
8,1.0,19,10.0
9,3.0,11,10.0
10,3.0,13,14.0
11,3.0,23,0.0
12,3.0,12,14.0
13,3.0,32,10.0
14,3.0,3,10.0
15,3.0,35,0.0
16,4.0,29,10.0
17,4.0,4,14.0
18,4.0,9,10.0
19,4.0,15,14.0
20,4.0,32,10.0
21,4.0,20,0.0
22,4.0,6,10.0
23,4.0,5,0.0
24,4.0,17,10.0
25,5.0,2,10.0
26,5.0,29,10.0
27,5.0,5,10.0
28,5.0,23,14.0
29,5.0,26,0.0
30,5.0,11,10.0
31,5.0,35,10.0
32,5.0,32,10.0
33,5.0,6,10.0
34,5.0,40,14.0
35,5.0,12,10.0
36,5.0,7,14.0
37,5.0,14,0.0
38,7.0,15,10.0
39,7.0,14,10.0
40,7.0,17,10.0
41,7.0,18,14.0
42,7.0,38,14.0
43,7.0,12,0.0
44,7.0,2,0.0
45,8.0,5,0.0
46,8.0,32,14.0
47,8.0,24,14.0
48,8.0,40,10.0
49,8.0,26,14.0
50,8.0,12,10.0
51,8.0,29,14.0
52,8.0,4,14.0
53,8.0,9,0.0
54,9.0,23,14.0
55,9.0,12,10.0
56,9.0,40,14.0
57,9.0,4,10.0
58,9.0,24,14.0
59,9.0,38,10.0
60,9.0,8,10.0
61,9.0,36,10.0
62,9.0,10,10.0
63,10.0,9,10.0
64,10.0,17,14.0
65,10.0,40,10.0
66,11.0,2,10.0
67,11.0,4,10.0
68,11.0,11,0.0
69,11.0,26,10.0
70,13.0,11,0.0
71,13.0,4,10.0
72,13.0,17,10.0
73,14.0,40,0.0
74,14.0,20,0.0
75,14.0,9,10.0
76,14.0,26,0.0
77,15.0,18,10.0
78,15.0,2,10.0
79,15.0,8,10.0
80,15.0,15,14.0
81,15.0,4,10.0
82,15.0,9,14.0
