,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,27,10.0
1,1.0,24,10.0
2,1.0,39,10.0
3,1.0,40,10.0
4,1.0,5,14.0
5,2.0,8,0.0
6,2.0,15,14.0
7,2.0,17,14.0
8,2.0,9,10.0
9,2.0,19,10.0
10,3.0,5,10.0
11,3.0,24,10.0
12,3.0,3,10.0
13,3.0,21,14.0
14,4.0,19,14.0
15,4.0,9,14.0
16,4.0,7,14.0
17,4.0,28,14.0
18,4.0,37,10.0
19,4.0,20,14.0
20,4.0,4,14.0
21,5.0,17,0.0
22,5.0,24,10.0
23,5.0,13,14.0
24,5.0,19,10.0
25,5.0,15,14.0
26,5.0,5,10.0
27,7.0,4,14.0
28,7.0,19,14.0
29,8.0,4,10.0
30,8.0,15,0.0
31,8.0,11,0.0
32,9.0,39,14.0
33,9.0,36,10.0
34,9.0,33,14.0
35,9.0,31,10.0
36,10.0,3,14.0
37,10.0,8,14.0
38,10.0,31,0.0
39,10.0,6,10.0
40,11.0,27,14.0
41,11.0,3,14.0
42,11.0,36,10.0
43,11.0,26,0.0
44,11.0,31,0.0
45,12.0,1,0.0
46,12.0,4,10.0
47,12.0,21,10.0
48,12.0,31,10.0
49,12.0,11,0.0
50,12.0,34,14.0
51,12.0,39,0.0
52,12.0,35,10.0
53,12.0,36,0.0
54,13.0,4,14.0
55,13.0,1,14.0
56,13.0,34,14.0
57,13.0,39,10.0
58,13.0,6,14.0
59,14.0,24,14.0
60,14.0,30,10.0
61,14.0,39,10.0
62,15.0,30,10.0
63,15.0,27,10.0
64,15.0,11,10.0
65,15.0,21,10.0
66,15.0,33,10.0
67,15.0,40,14.0
