,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,40,14.0
1,1.0,26,14.0
2,1.0,25,14.0
3,1.0,7,14.0
4,1.0,6,10.0
5,1.0,36,10.0
6,1.0,17,10.0
7,2.0,24,14.0
8,2.0,40,14.0
9,2.0,31,10.0
10,2.0,28,14.0
11,2.0,19,10.0
12,2.0,13,14.0
13,2.0,18,10.0
14,2.0,-1,10.0
15,2.0,38,14.0
16,3.0,28,14.0
17,3.0,19,0.0
18,3.0,25,14.0
19,3.0,38,10.0
20,3.0,34,14.0
21,3.0,18,14.0
22,3.0,24,10.0
23,3.0,8,0.0
24,3.0,20,0.0
25,4.0,13,0.0
26,4.0,38,10.0
27,4.0,3,0.0
28,4.0,7,14.0
29,4.0,39,10.0
30,4.0,10,14.0
31,4.0,20,10.0
32,4.0,21,0.0
33,4.0,25,0.0
34,5.0,4,14.0
35,5.0,40,10.0
36,5.0,15,10.0
37,5.0,24,10.0
38,5.0,19,10.0
39,5.0,13,14.0
40,5.0,7,0.0
41,5.0,28,14.0
42,5.0,35,10.0
43,5.0,5,10.0
44,5.0,26,0.0
45,5.0,18,10.0
46,5.0,10,0.0
47,5.0,38,0.0
48,5.0,6,0.0
49,5.0,20,0.0
50,6.0,18,14.0
51,6.0,22,10.0
52,6.0,26,10.0
53,6.0,-1,14.0
54,6.0,38,14.0
55,6.0,27,10.0
56,6.0,36,10.0
57,6.0,21,10.0
58,6.0,33,0.0
59,6.0,40,0.0
60,7.0,18,0.0
61,7.0,38,14.0
62,7.0,24,10.0
63,7.0,32,14.0
64,7.0,20,10.0
65,7.0,8,10.0
66,7.0,34,0.0
67,7.0,-1,14.0
68,7.0,11,10.0
69,7.0,7,0.0
70,7.0,25,0.0
71,8.0,22,14.0
72,8.0,13,10.0
73,8.0,11,10.0
74,8.0,15,10.0
75,8.0,25,10.0
76,8.0,18,10.0
77,8.0,20,14.0
78,8.0,31,0.0
79,8.0,8,10.0
80,8.0,24,0.0
81,8.0,14,0.0
82,8.0,28,0.0
83,9.0,22,0.0
84,9.0,8,14.0
85,9.0,18,14.0
86,9.0,28,14.0
87,9.0,-1,14.0
88,9.0,26,10.0
89,9.0,5,10.0
90,9.0,19,10.0
91,10.0,13,14.0
92,10.0,36,10.0
93,10.0,29,10.0
94,10.0,24,14.0
95,10.0,22,10.0
96,10.0,8,10.0
97,10.0,40,10.0
98,10.0,12,0.0
99,10.0,20,0.0
100,11.0,24,14.0
101,11.0,18,14.0
102,11.0,26,10.0
103,11.0,37,10.0
104,11.0,27,14.0
105,11.0,9,14.0
106,11.0,35,14.0
107,11.0,13,10.0
108,11.0,33,0.0
109,11.0,31,14.0
110,12.0,13,14.0
111,12.0,31,10.0
112,12.0,27,10.0
113,12.0,34,14.0
114,12.0,8,10.0
115,12.0,25,10.0
116,12.0,24,10.0
117,12.0,31,10.0
118,12.0,33,0.0
119,12.0,14,14.0
120,13.0,28,14.0
121,13.0,7,10.0
122,13.0,40,10.0
123,13.0,24,14.0
124,13.0,35,10.0
125,13.0,25,10.0
126,13.0,33,14.0
127,13.0,36,10.0
128,13.0,13,14.0
129,14.0,29,10.0
130,14.0,28,0.0
131,14.0,26,10.0
132,14.0,34,10.0
133,14.0,31,10.0
134,14.0,18,14.0
135,14.0,14,0.0
136,14.0,40,0.0
137,15.0,28,0.0
138,15.0,40,10.0
139,15.0,8,14.0
140,15.0,25,10.0
141,15.0,22,10.0
142,15.0,18,10.0
143,15.0,38,14.0
144,15.0,31,14.0
145,15.0,30,10.0
146,15.0,20,0.0
