,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,10,10.0
1,1.0,23,14.0
2,1.0,5,10.0
3,1.0,33,14.0
4,1.0,30,14.0
5,2.0,28,10.0
6,2.0,14,14.0
7,2.0,13,14.0
8,2.0,11,14.0
9,2.0,21,14.0
10,3.0,6,14.0
11,3.0,28,14.0
12,3.0,27,14.0
13,3.0,3,14.0
14,3.0,22,10.0
15,3.0,12,10.0
16,4.0,10,10.0
17,4.0,12,14.0
18,4.0,4,14.0
19,5.0,28,0.0
20,5.0,10,14.0
21,6.0,10,10.0
22,6.0,24,14.0
23,6.0,22,14.0
24,6.0,11,14.0
25,6.0,7,14.0
26,6.0,14,14.0
27,6.0,35,14.0
28,6.0,6,14.0
29,6.0,27,14.0
30,7.0,13,0.0
31,7.0,3,14.0
32,8.0,6,14.0
33,8.0,32,10.0
34,8.0,21,10.0
35,8.0,23,10.0
36,8.0,7,14.0
37,9.0,28,0.0
38,9.0,-1,0.0
39,9.0,4,10.0
40,9.0,27,14.0
41,9.0,10,10.0
42,9.0,12,0.0
43,10.0,23,14.0
44,10.0,14,14.0
45,10.0,20,10.0
46,10.0,34,14.0
47,11.0,24,14.0
48,11.0,13,10.0
49,11.0,-1,14.0
50,11.0,32,10.0
51,12.0,12,14.0
52,12.0,14,0.0
53,13.0,34,0.0
54,13.0,11,14.0
55,13.0,23,0.0
56,13.0,4,0.0
57,13.0,21,10.0
58,13.0,27,10.0
59,13.0,-1,10.0
60,13.0,6,14.0
61,13.0,8,14.0
62,14.0,-1,0.0
63,14.0,-1,0.0
64,14.0,11,0.0
65,14.0,27,14.0
66,14.0,34,14.0
67,14.0,35,14.0
68,15.0,11,0.0
69,15.0,21,0.0
70,15.0,29,10.0
71,15.0,-1,10.0
72,16.0,12,0.0
73,16.0,-1,0.0
74,16.0,32,14.0
75,16.0,-1,0.0
76,16.0,6,10.0
77,17.0,-1,0.0
78,17.0,7,0.0
79,17.0,12,14.0
80,17.0,3,10.0
81,18.0,14,0.0
82,18.0,12,14.0
83,18.0,13,10.0
84,18.0,-1,14.0
85,18.0,24,10.0
86,18.0,-1,0.0
87,18.0,-1,14.0
88,18.0,34,0.0
89,19.0,-1,0.0
90,19.0,-1,0.0
91,19.0,4,10.0
92,19.0,-1,14.0
93,20.0,21,14.0
94,20.0,-1,10.0
95,20.0,-1,0.0
96,21.0,34,0.0
97,21.0,2,14.0
98,21.0,13,14.0
99,21.0,8,14.0
100,21.0,-1,10.0
101,21.0,11,14.0
102,21.0,23,10.0
103,22.0,12,0.0
104,22.0,4,0.0
105,22.0,-1,0.0
106,22.0,7,14.0
107,23.0,8,14.0
108,23.0,-1,14.0
109,23.0,4,14.0
110,23.0,14,0.0
111,23.0,12,0.0
112,23.0,-1,0.0
113,23.0,-1,0.0
114,23.0,33,0.0
115,23.0,13,0.0
116,23.0,6,0.0
117,23.0,3,0.0
118,24.0,34,0.0
119,24.0,-1,0.0
120,24.0,33,0.0
121,24.0,8,0.0
122,24.0,-1,14.0
123,24.0,11,10.0
124,24.0,27,0.0
125,24.0,23,0.0
126,24.0,-1,10.0
127,24.0,-1,0.0
128,24.0,3,0.0
129,24.0,21,14.0
130,24.0,13,0.0
131,24.0,5,0.0
132,25.0,11,0.0
133,25.0,21,0.0
134,25.0,-1,0.0
135,25.0,-1,0.0
136,25.0,-1,10.0
137,25.0,3,0.0
138,25.0,14,0.0
139,25.0,7,10.0
