,D0: Trial,D1: Comers
0,1.0,11
1,1.0,3
2,1.0,30
3,2.0,35
4,2.0,33
5,2.0,19
6,2.0,24
7,3.0,1
8,3.0,14
9,3.0,8
10,3.0,39
11,4.0,24
12,4.0,36
13,5.0,25
14,5.0,17
15,5.0,4
16,5.0,39
17,5.0,12
18,6.0,23
19,6.0,17
20,6.0,36
21,6.0,12
22,7.0,2
23,7.0,34
24,8.0,27
25,8.0,4
26,8.0,16
27,9.0,12
28,9.0,18
29,9.0,6
30,10.0,24
31,10.0,27
32,10.0,1
33,10.0,25
34,11.0,19
35,12.0,24
36,12.0,25
37,12.0,34
38,12.0,19
39,12.0,3
40,14.0,21
41,14.0,17
42,14.0,6
43,15.0,14
44,15.0,18
45,18.0,30
46,19.0,14
47,19.0,29
48,19.0,27
49,19.0,38
50,19.0,7
51,20.0,10
52,20.0,25
53,20.0,35
54,20.0,15
55,21.0,17
56,22.0,7
57,22.0,10
58,22.0,30
59,22.0,34
60,23.0,34
61,23.0,35
62,23.0,21
63,23.0,14
64,25.0,34
