,D0: Trial,D1: Comers
0,8.0,12
1,8.0,1
2,8.0,31
3,8.0,14
4,8.0,38
5,9.0,32
6,9.0,39
7,9.0,26
8,9.0,30
9,9.0,14
10,9.0,17
11,9.0,15
12,9.0,36
13,10.0,17
14,10.0,4
15,10.0,15
16,10.0,28
17,10.0,20
18,10.0,11
19,10.0,1
20,10.0,18
21,11.0,20
22,11.0,15
23,11.0,23
24,11.0,18
25,11.0,27
26,11.0,3
27,11.0,15
28,11.0,1
29,12.0,31
30,12.0,26
31,12.0,25
32,12.0,17
33,12.0,32
34,12.0,28
35,12.0,-1
36,12.0,37
37,12.0,30
38,13.0,31
39,13.0,6
40,13.0,24
41,14.0,15
42,14.0,4
43,14.0,30
44,14.0,35
45,14.0,22
46,14.0,32
47,15.0,18
48,15.0,24
49,15.0,11
50,15.0,12
51,15.0,29
52,16.0,-1
53,16.0,22
54,16.0,31
55,16.0,16
56,16.0,34
57,16.0,-1
58,17.0,12
59,17.0,18
60,17.0,11
61,17.0,17
62,19.0,16
63,19.0,-1
64,19.0,18
65,19.0,-1
66,19.0,-1
67,20.0,22
68,20.0,-1
69,20.0,-1
