,D0: Trial,D1: Comers
0,1.0,17
1,1.0,37
2,1.0,14
3,1.0,9
4,1.0,23
5,2.0,25
6,2.0,6
7,2.0,35
8,2.0,14
9,3.0,32
10,3.0,7
11,3.0,15
12,3.0,16
13,3.0,17
14,3.0,26
15,3.0,3
16,5.0,1
17,5.0,19
18,5.0,26
19,5.0,12
20,6.0,26
21,6.0,5
22,6.0,31
23,6.0,22
24,6.0,13
25,6.0,28
26,7.0,-1
27,8.0,7
28,8.0,10
29,8.0,33
30,8.0,13
31,8.0,31
32,8.0,25
33,8.0,18
34,8.0,15
35,9.0,15
36,9.0,23
37,9.0,25
38,9.0,37
39,10.0,23
40,10.0,1
41,10.0,25
42,10.0,17
43,10.0,37
44,11.0,18
45,11.0,14
46,12.0,1
47,14.0,18
48,14.0,38
49,15.0,15
50,15.0,20
51,15.0,37
52,16.0,18
53,16.0,36
54,16.0,40
55,16.0,3
56,18.0,9
57,20.0,11
58,20.0,8
59,20.0,3
60,22.0,18
