,D0: Trial,D1: Comers
0,4.0,33
1,4.0,37
2,4.0,34
3,4.0,18
4,4.0,10
5,4.0,9
6,4.0,7
7,5.0,33
8,5.0,25
9,5.0,37
10,5.0,4
11,5.0,13
12,6.0,15
13,6.0,3
14,6.0,23
15,6.0,36
16,6.0,12
17,6.0,4
18,6.0,1
19,6.0,6
20,6.0,37
21,7.0,13
22,7.0,34
23,7.0,27
24,7.0,7
25,7.0,18
26,7.0,-1
27,7.0,23
28,7.0,37
29,7.0,25
30,8.0,37
31,8.0,22
32,8.0,12
33,8.0,6
34,9.0,40
35,9.0,20
36,10.0,23
37,11.0,23
38,11.0,22
39,11.0,7
40,11.0,33
41,11.0,6
42,12.0,27
43,12.0,35
44,13.0,19
45,13.0,-1
46,13.0,37
47,13.0,38
48,14.0,23
49,14.0,33
50,14.0,34
51,14.0,35
52,14.0,21
53,14.0,25
54,14.0,39
55,14.0,4
56,15.0,27
57,15.0,22
58,15.0,3
59,15.0,7
60,15.0,4
61,15.0,23
62,16.0,39
63,16.0,7
64,16.0,18
65,16.0,6
66,16.0,35
67,16.0,-1
68,17.0,34
69,17.0,22
70,17.0,-1
71,17.0,-1
72,18.0,40
73,18.0,22
74,18.0,34
75,18.0,31
76,18.0,-1
77,19.0,-1
78,19.0,31
79,19.0,37
80,19.0,-1
81,21.0,18
82,21.0,-1
83,22.0,33
84,22.0,34
85,22.0,13
86,23.0,39
87,23.0,-1
88,25.0,33
89,25.0,18
90,25.0,34
91,25.0,-1
