,D0: Trial,D1: Comers
0,1.0,11
1,1.0,21
2,1.0,5
3,1.0,25
4,1.0,35
5,2.0,23
6,2.0,21
7,2.0,12
8,2.0,31
9,2.0,1
10,2.0,19
11,3.0,6
12,3.0,12
13,3.0,10
14,3.0,30
15,3.0,29
16,3.0,39
17,3.0,27
18,4.0,13
19,4.0,28
20,4.0,25
21,4.0,26
22,4.0,7
23,4.0,29
24,4.0,30
25,4.0,27
26,4.0,39
27,4.0,6
28,4.0,38
29,4.0,40
30,4.0,32
31,4.0,5
32,5.0,38
33,5.0,40
34,5.0,3
35,5.0,22
36,5.0,26
37,5.0,19
38,6.0,29
39,6.0,23
40,6.0,37
41,7.0,39
42,7.0,10
43,7.0,39
44,7.0,10
45,7.0,30
46,7.0,12
47,7.0,13
48,8.0,39
49,8.0,37
50,8.0,7
51,9.0,13
52,9.0,23
53,9.0,2
54,10.0,37
55,10.0,7
56,11.0,21
57,12.0,21
58,13.0,5
59,13.0,8
60,13.0,20
61,14.0,20
62,15.0,5
63,15.0,21
64,15.0,3
65,16.0,21
66,16.0,29
67,16.0,20
68,19.0,9
69,19.0,5
70,19.0,21
71,20.0,3
72,20.0,29
73,21.0,4
74,21.0,21
75,21.0,22
76,21.0,20
77,21.0,29
78,22.0,3
79,22.0,29
80,23.0,29
81,23.0,22
