,D0: Trial,D1: Comers
0,1.0,17
1,1.0,22
2,1.0,2
3,1.0,8
4,1.0,9
5,1.0,10
6,1.0,26
7,1.0,30
8,1.0,12
9,1.0,29
10,1.0,34
11,1.0,6
12,2.0,7
13,2.0,37
14,2.0,34
15,3.0,9
16,3.0,6
17,4.0,23
18,5.0,34
19,5.0,8
20,5.0,11
21,5.0,34
22,5.0,8
23,6.0,2
24,8.0,10
25,8.0,11
26,10.0,2
27,10.0,31
28,12.0,22
29,12.0,24
30,12.0,40
31,13.0,21
32,13.0,6
33,13.0,4
34,14.0,12
35,14.0,23
36,14.0,22
37,15.0,31
38,16.0,22
39,16.0,23
40,16.0,9
41,17.0,11
42,17.0,28
43,17.0,12
44,17.0,23
45,18.0,1
46,18.0,21
47,18.0,34
48,19.0,28
49,19.0,23
50,19.0,11
51,19.0,12
52,19.0,26
53,19.0,31
54,19.0,38
55,21.0,5
56,21.0,23
57,21.0,15
58,21.0,2
59,23.0,22
60,23.0,8
61,23.0,34
62,23.0,38
63,24.0,34
64,24.0,8
65,25.0,6
66,25.0,8
67,25.0,31
68,25.0,1
