"ID","TRANSITIVITY","BETWEENNESS","EIGENVECTOR","NODE_STRENGTH","NODE_DEGREE"
1,0,6,0.211228050011293,0.5833,2
2,0,30,1,1.25,2
3,0,0,0.906206742229751,1,1
4,2,0,0.140737249511423,0.3929,2
5,0.133333333333333,67,0.2629687259222,0.6945,4
6,0.357134693411052,19,0.378367939509256,1.1666,4
7,0.346153846153846,4,0.360596042259622,0.65,3
8,0,29,0.366992170558841,0.7333,3
9,0.321428571428571,12,0.262720831204488,0.7,3
10,1,4,0.193551738698749,0.5833,2
11,0.108695652173913,41,0.475509795519324,1.15,5
12,0.380928571428571,51,0.267279175474024,0.7,3
13,0.0978260869565217,85,0.413723761163009,1.15,5
14,0.179841819469584,205,0.420626062641165,1.2707,9
15,0,14,0.513002891870111,1.0833,4
16,0.363312613312613,28,0.322696059070981,1.1583,5
17,0.162722831948233,166,0.75870552278823,1.5763,8
18,0.199327063401978,27,0.71127778028435,1.2334,5
19,0.233752824748695,78,0.413134478452086,1.2833,5
20,0,10,0.184556068827588,0.5,2
21,0.151901762219919,120,0.390511464996183,1.2541,7
22,0.104166319473377,86,0.380784896151029,1.2001,6
23,0.399975999039962,11,0.3320088114709,0.8333,3
24,0,164,0.588335174388702,1.1025,6
25,0.301296103996,37,0.353366419540163,0.8667,4
26,0.0496035997428755,188,0.789176826901216,1.4001,7
27,0.305240652346858,72,0.338758090257804,1.0056,5
28,0,10,0.249868232944695,0.6167,3
29,0.109381690901305,172,0.424119723350451,1.5346,8
30,0.178725018972932,161,0.554239499207718,1.1859,7
31,0,207,0.615262643149746,1.3764,8
32,0,0,0.0884710306243895,0.25,1
33,0,6,0.211228050011293,0.5833,2
34,0,30,1,1.25,2
35,0,0,0.906206742229751,1,1
36,2,0,0.140737249511423,0.3929,2
37,0.133333333333333,67,0.2629687259222,0.6945,4
38,0.357134693411052,19,0.378367939509256,1.1666,4
39,0.346153846153846,4,0.360596042259622,0.65,3
40,0,29,0.366992170558841,0.7333,3
