"ID","TRANSITIVITY","BETWEENNESS","EIGENVECTOR","NODE_STRENGTH","NODE_DEGREE"
1,0.156393470498215,38,0.317352412416369,1.1762,5
2,0.206022012578616,82,0.757036612976774,1.06,7
3,0.204607394597434,284,0.736364420983979,1.4056,14
4,0,0,0.206460639437057,0.5333,2
5,0.380928199919983,60,0.517381671286751,1.0831,7
6,0.223048205396909,135,0.466171853642781,1.1451,9
7,0,87,0.782206841960416,1.5585,9
8,0.212121212121212,23,0.612852119991985,1.1,4
9,0.342096952471183,4,0.36685527525198,0.6333,3
10,0.348340905961724,21,0.468658884977105,0.7263,5
11,0,22,0.479610913768837,0.6,2
12,0,0,0.128655759539163,0.1667,1
13,0,0,0.129297259486458,0.3334,2
14,0.220825,27,0.797519558424983,1,5
15,0.366648002986189,0,0.189117846908654,0.5358,3
16,0.343396862877382,54,0.261179421078167,0.5929,4
17,0.367568537712568,41,0.2274613431174,0.7429,4
18,0.159808924112474,117,0.319935207395965,0.9211,7
19,0,4,0.346780653702773,0.75,3
20,0,0,0.479610913768836,0.6,2
21,0,0,0.456697509973862,0.7,2
22,0,0,0.197334045112787,0.2,1
23,0,44,0.824907893822958,1.4,4
24,0.245906369472697,28,0.425243406423058,0.9242,4
25,0.115786607560833,83,1,1.4953,8
26,0,0,0.0748022972624164,0.3333,1
27,0.156393470498215,38,0.317352412416369,1.1762,5
28,0.206022012578616,82,0.757036612976774,1.06,7
29,0.204607394597434,284,0.736364420983979,1.4056,14
30,0,0,0.206460639437057,0.5333,2
31,0.380928199919983,60,0.517381671286751,1.0831,7
32,0.223048205396909,135,0.466171853642781,1.1451,9
33,0,87,0.782206841960416,1.5585,9
34,0.212121212121212,23,0.612852119991985,1.1,4
35,0.342096952471183,4,0.36685527525198,0.6333,3
36,0.348340905961724,21,0.468658884977105,0.7263,5
37,0,22,0.479610913768837,0.6,2
38,0,0,0.128655759539163,0.1667,1
39,0,0,0.129297259486458,0.3334,2
40,0.220825,27,0.797519558424983,1,5
