"ID","TRANSITIVITY","BETWEENNESS","NODE_STRENGTH","EIGENVECTOR"
1,0.298023341394175,3,0.9511,0.418807186431902
2,0.375909946379745,12,0.8046,0.450129655248047
3,0.511901225399183,120,1.3465,0.831564233903197
4,0.423977306658704,163,1.6745,1
5,0.760292214490688,34,0.9694,0.610695123307147
6,0.4181182604574,16,0.8439,0.418238464097827
7,0.479979002624672,0,0.9525,0.404580251254823
8,0.415679061086784,175,1.3931,0.758600379985627
9,0.437106806420202,208,1.6618,0.980628165155634
10,0.578152753108348,0,0.563,0.273789964833823
11,0.610981697171381,0,0.3005,0.151130355183792
12,0.249776765493769,30,1.1039,0.39614117762975
13,2,0,0.1381,0.0976750690239358
14,0.447849274348662,0,0.5719,0.285846309072262
15,0.206380952380952,0,0.7,0.219291644779747
16,0.435045944733388,43,1.0942,0.547634827096719
17,0,0,0,0.0458416983565524
18,0,0,0,0.0458416983565524
19,0.455063364725032,0,0.5734,0.226731614643421
20,0.685120093731693,35,1.1949,0.788981507658582
21,0.652748508946322,52,1.006,0.648125443232072
22,0.547057667327545,103,1.4627,0.842806849768603
23,0,0,0.4167,0.133497341750342
24,0.271653056174214,94,1.0776,0.314097263639677
25,0,0,0.2096,0.110946790619766
26,1,0,0.2334,0.0943944480903326
27,0.485547685483294,8,0.9318,0.386036695255124
28,0.439449969482641,51,0.7958,0.338504269146952
29,0.36273112641883,319,1.559,0.821769851305713
30,0.503586332811685,0,0.5112,0.258089824202231
31,0,0,0,0.0458416983565524
32,0,0,0,0.0458416983565524
33,0,0,0,0.0458416983565524
34,0,0,0,0.0458416983565524
35,0,0,0,0.0458416983565524
36,1,0,0.2167,0.0902004041697172
37,0.118531531977368,53,1.6533,0.52649640246208
38,0.587072243346007,3,0.9205,0.394209414186447
39,0.500832028191073,0,0.5108,0.260040355113104
40,0,0,0,0.0458416983565524
