"ID","TRANSITIVITY","BETWEENNESS","NODE_STRENGTH","EIGENVECTOR"
1,0.418181818181819,47,0.5005,0.761284696023359
2,2,0,0.091,0.180951211058994
3,0.500000000000001,129,0.455,0.632167664416504
4,0,0,0,0.0823714070334288
5,0,0,0,0.0823714070334288
6,1,0,0.1365,0.173556589716307
7,0,0,0,0.0823714070334288
8,0,0,0,0.0823714070334288
9,0.330778248714943,189,0.6824,1
10,0.449934051439877,65,0.4549,0.669940478126758
11,0,0,0,0.0823714070334288
12,0.43939393939394,107,0.546,0.760892613027327
13,0.771356783919598,2,0.3184,0.487171669438217
14,0,0,0,0.0823714070334288
15,0,0,0,0.0823714070334288
16,0.466666666666667,43,0.455,0.625157854124551
17,0.211111111111111,125,0.455,0.441221453334036
18,1,0,0.1365,0.10692388929553
19,1,0,0.1365,0.240046213977047
20,0.833333333333333,0,0.182,0.208001385037178
21,0.466666666666667,61,0.455,0.779418200941712
22,0,0,0,0.0823714070334288
23,1,0,0.1365,0.173556605728486
24,0.535714285714286,18,0.364,0.425187967629926
25,1.08318065225357,4,0.2729,0.518121806035704
26,1,0,0.1365,0.106923882492218
27,1.33333333333333,0,0.1365,0.222444426964705
28,0,0,0,0.0823714070334288
29,1.33333333333333,0,0.1365,0.222444416765163
30,0.714285714285715,48,0.3185,0.478787778223837
31,0.304084997252244,143,0.5459,0.832552187974876
32,0.645781808189063,25,0.3639,0.546890331011696
33,0,0,0,0.0823714070334288
34,0,0,0,0.0823714070334288
35,1,0,0.182,0.280014378874936
36,1,0,0.182,0.261822822615222
37,0.531683997487613,12,0.4094,0.671728247857228
38,0,0,0,0.0823714070334288
39,0.425590097869891,98,0.6369,0.923931884142287
40,0,0,0,0.0823714070334288
