"ID","TRANSITIVITY","BETWEENNESS","NODE_STRENGTH","EIGENVECTOR"
1,0.560784313725491,19,0.8092,0.483109206308993
2,0,0,0,0.0463016437395634
3,0.607158651188502,48,0.9045,0.716514974992152
4,0.473856209150328,88,0.8568,0.531435104369378
5,0.661557851873995,43,0.9521,0.752430308015311
6,0.494444444444445,126,0.952,0.649301312451468
7,0.607142857142857,4,0.3808,0.203130466297358
8,0,0,0,0.0463016437395634
9,1,0,0.1904,0.0352684380647777
10,0,0,0,0.0463016437395634
11,0,0,0,0.0463016437395634
12,0.691558441558442,26,0.6664,0.569375828768234
13,0.517857142857143,83,0.6664,0.319964203609536
14,0.857142857142857,14,0.3332,0.263489344451295
15,0.678571428571429,26,0.3808,0.217460250083538
16,0,0,0,0.0463016437395634
17,0,0,0,0.0463016437395634
18,0.493221412914421,54,1.0949,0.852433992792821
19,1.19047619047619,0,0.3332,0.194723206140334
20,1.19047619047619,0,0.3332,0.194723217406977
21,0.787037037037038,1,0.5712,0.394794558835833
22,0.622222222222222,43,0.8568,0.620255860773024
23,0.464285714285714,23,0.3808,0.193030881827679
24,0.597902097902099,54,0.6188,0.369787879702543
25,0.7,15,0.238,0.15300431197986
26,0,0,0,0.0463016437395634
27,0.740740740740742,9,0.5712,0.376909314471968
28,0.79020979020979,35,0.6188,0.525989928776571
29,0.761538461538462,10,0.6188,0.521966720227278
30,0,0,0,0.0463016437395634
31,0,0,0,0.0463016437395634
32,0.512228974416685,71,1.3329,1
33,1,0,0.1904,0.0352684114282119
34,0.622862775444027,9,0.9046,0.786502057941527
35,0.626373626373627,106,0.6664,0.423076726601025
36,0,0,0,0.0463016437395634
37,0.7,4,0.238,0.144840825353518
38,0,0,0,0.0463016437395634
39,1.11666666666667,4,0.476,0.416281240062153
40,1,0,0.1904,0.0352684082301896
